dataset,n_filas,n_ciclos,mediciones/ciclo_min,mediciones/ciclo_max,mediciones/ciclo_media,Zre_intra_std_ohm,Zre_intra_range_ohm,Zre_inter_std_ohm,Zre_inter_range_ohm,Zre_ratio_intra_total,Zim_intra_std_ohm,Zim_intra_range_ohm,Zim_inter_std_ohm,Zim_inter_range_ohm,Zim_ratio_intra_total,Zmag_intra_std_ohm,Zmag_intra_range_ohm,Zmag_inter_std_ohm,Zmag_inter_range_ohm,Zmag_ratio_intra_total,Phase_intra_std_ohm,Phase_intra_range_ohm,Phase_inter_std_ohm,Phase_inter_range_ohm,Phase_ratio_intra_total,SoC_intra_std_pct,SoC_intra_range_pct,SoC_inter_std_pct
1,32000,1000,32,32,32.0,0.01111,0.03491,0.00895,0.03765,0.7817,0.00662,0.02071,0.00452,0.01844,0.8191,0.0125,0.03938,0.01003,0.04219,0.7844,1.44597,4.53466,1.13219,5.21046,0.776,32.3543,97.3245,4.0633
2,30755,1000,30,31,30.8,0.00726,0.03998,0.00624,0.02428,0.7568,0.0041,0.02092,0.00274,0.01048,0.8116,0.00811,0.04472,0.00681,0.02655,0.7665,1.26227,6.06607,1.12342,4.51436,0.7132,28.9431,99.8562,2.0768
3,29001,1000,29,30,29.0,0.00909,0.04153,0.00584,0.02089,0.8337,0.00461,0.02031,0.00233,0.00819,0.8656,0.01014,0.04625,0.00633,0.02261,0.8447,1.6919,7.29298,1.29107,4.92308,0.7588,29.2357,99.6391,2.3764
4,27829,1000,27,30,27.8,0.01026,0.0425,0.00464,0.01712,0.9072,0.00485,0.01969,0.00174,0.00623,0.9233,0.01139,0.0471,0.00498,0.01838,0.9163,2.11216,8.2692,1.23984,4.90069,0.8291,31.3052,99.9183,2.124
5,26763,1000,26,29,26.8,0.01124,0.04274,0.00442,0.01678,0.9324,0.0051,0.01913,0.00157,0.00593,0.9433,0.01245,0.04723,0.00474,0.01801,0.9405,2.43429,8.95459,1.34127,5.31145,0.85,32.0949,99.9436,3.029
6,32000,1000,32,32,32.0,0.00838,0.02648,0.00888,0.03641,0.6869,0.00498,0.01571,0.00416,0.01645,0.7512,0.00937,0.02968,0.00984,0.04036,0.6912,1.40387,4.39761,1.37298,6.22658,0.6905,31.3531,96.8154,4.0196
7,31000,1000,31,31,31.0,0.00514,0.02323,0.00606,0.02201,0.6462,0.00295,0.01242,0.00247,0.00889,0.7365,0.00568,0.02573,0.00657,0.0239,0.6542,1.27311,4.94339,1.26455,4.79389,0.668,28.1082,99.9031,2.1447
8,29340,1000,29,31,29.3,0.00481,0.02607,0.00464,0.01767,0.715,0.00261,0.01268,0.00174,0.00658,0.7981,0.00531,0.02871,0.00497,0.019,0.7269,1.35909,6.2335,1.20239,4.68737,0.6915,27.9638,99.1571,1.3629
9,28518,1000,28,30,28.5,0.00561,0.02659,0.00387,0.01539,0.8143,0.00277,0.0122,0.00134,0.00543,0.8667,0.00616,0.02916,0.00412,0.01646,0.8261,1.6457,7.00681,1.20976,4.80477,0.7576,30.0026,99.8214,2.472
10,27444,1000,27,30,27.4,0.00652,0.02695,0.0038,0.01324,0.8623,0.00301,0.01186,0.00131,0.00456,0.8943,0.00713,0.02944,0.00405,0.01409,0.8716,1.95702,7.67844,1.27797,4.69608,0.8035,30.9306,99.8182,1.297
11,32000,1000,32,32,32.0,0.00599,0.01882,0.00873,0.03511,0.5648,0.00373,0.01169,0.00385,0.01486,0.6682,0.00669,0.02104,0.0096,0.03862,0.5714,1.31493,4.08678,1.61436,7.306,0.593,30.4315,96.3972,3.9171
12,31075,1000,31,32,31.1,0.00442,0.01509,0.00568,0.01999,0.6127,0.00254,0.00854,0.00219,0.00757,0.7192,0.00487,0.01665,0.00613,0.02161,0.6211,1.40147,4.53816,1.41736,5.24152,0.6549,27.4337,99.7309,2.0263
13,29985,1000,29,31,30.0,0.00359,0.01735,0.00434,0.01528,0.635,0.00207,0.00875,0.00155,0.00543,0.7539,0.00395,0.01901,0.00464,0.01636,0.6469,1.38411,5.63022,1.30095,4.73523,0.6706,28.0813,99.6032,1.484
14,28995,1000,28,30,29.0,0.00385,0.01729,0.00391,0.01347,0.7004,0.00207,0.00829,0.00135,0.0046,0.7957,0.00422,0.01887,0.00416,0.01433,0.712,1.53065,6.20096,1.31844,4.73078,0.7057,28.7543,98.6081,1.9972
15,28179,1000,28,30,28.2,0.00386,0.01735,0.00321,0.01112,0.7644,0.00196,0.00796,0.00106,0.00363,0.84,0.00422,0.01887,0.0034,0.01178,0.7757,1.64523,6.72297,1.23034,4.43488,0.7501,30.6753,99.8119,2.5454
16,32000,1000,32,32,32.0,0.0043,0.01339,0.0086,0.03399,0.4458,0.00292,0.00906,0.00362,0.01367,0.5894,0.00481,0.01502,0.0094,0.03719,0.4547,1.23732,3.81664,1.86493,8.46315,0.5061,29.5733,96.0528,3.7529
