model,task,n_predictions,soc_below_min,soc_above_max,soc_spike,soc_not_monotone,cycle_negative,cycle_not_monotone,violation_rate_%,soc_pred_min,soc_pred_max,soc_pred_mean,cycle_pred_min,cycle_pred_max,any_violation
ANP,val_01,1800,128,58,0,0,0,0,10.33,-1.44,105.56,29.4,44.6,109.3,1
ANP,val_02,1800,12,60,0,0,0,0,4.0,-0.1,102.25,30.28,45.3,112.0,1
ANP,val_03,1800,0,0,0,0,0,0,0.0,0.13,92.6,30.18,43.6,116.6,0
ANP,val_04,1800,28,0,0,0,0,0,1.56,-0.9,95.55,29.91,36.0,138.7,1
ANP,val_05,1800,56,48,0,0,0,0,5.78,-1.17,106.8,29.18,34.6,124.6,1
ANP,test_01,1800,14,58,0,0,0,0,4.0,-0.2,104.85,32.1,39.4,129.5,1
ANP,test_02,1800,0,60,0,0,0,0,3.33,3.83,101.73,32.92,17.5,112.8,1
ANP,test_03,1800,0,0,0,0,185,0,0.0,2.0,84.41,26.3,-18.6,125.8,1
DR-MLP,val_01,1800,0,0,0,0,0,0,0.0,2.44,92.69,29.09,32.1,62.1,0
DR-MLP,val_02,1800,0,0,0,0,0,0,0.0,2.53,90.93,30.37,28.5,63.1,0
DR-MLP,val_03,1800,0,0,0,0,0,0,0.0,2.12,88.16,28.67,24.5,72.1,0
DR-MLP,val_04,1800,0,0,0,0,0,0,0.0,1.57,81.3,26.98,43.5,71.0,0
DR-MLP,val_05,1800,0,0,0,0,0,0,0.0,2.06,89.87,28.63,34.3,58.2,0
DR-MLP,test_01,1800,0,0,0,0,0,0,0.0,2.86,89.84,28.96,20.1,59.9,0
DR-MLP,test_02,1800,0,0,0,0,0,0,0.0,2.71,83.66,29.91,12.5,61.9,0
DR-MLP,test_03,1800,0,0,0,0,0,0,0.0,2.1,84.54,27.96,11.3,57.8,0
