,train_01,train_02,train_03,train_04,train_05,train_06,train_07,train_08,train_09,train_10,train_11,train_12,train_13,train_14,train_15,train_16,train_17,val_01,val_02,val_03,val_04,val_05,test_01,test_02,test_03
specialist_01,9.884918074271695,81.39448298371498,151.68239922918596,238.33768825782897,425.7546364994527,52.12876920659816,92.21597260579874,128.88597549448377,235.14863360869938,391.48284389979545,98.1945293742696,126.2709287519493,155.99494494532422,234.84809259237213,374.64167528753705,141.9692736451381,183.1748802295091,228.08147010610847,318.7643617350635,428.79141102554473,259.96026980086856,296.4114438330671,361.2805691085459,479.1570822085672,600.6824241974773
specialist_02,23.499738039317094,12.60750115199662,112.17812560228634,246.0230673846785,417.45768604440667,21.866471009348754,45.51071533934403,141.42200515063212,301.679718417249,485.0002486792837,76.76798435311481,131.02636461986143,223.7553287835509,386.22594284353625,575.8516221250277,171.5690559234234,264.0633260867807,369.2254300026026,521.1426118389525,716.1146796606009,270.73474869093747,452.78151271911383,573.5866943192864,709.4454990777889,908.3041458637534
specialist_03,20.740486328999758,41.75316293059642,10.630118441507964,112.71399266265183,324.64869969939974,36.69902783378764,35.340022011532184,60.711298034063404,204.6480161960527,440.1247638625799,49.75873481140437,103.72451659369608,173.1887594758417,339.54574570497095,552.071982838592,87.61124894915507,242.60487471173087,343.46926759062615,504.71756757480745,702.0623986801098,191.35555929008444,431.6720145307343,567.6049238147689,729.4513545425216,943.5461778533245
specialist_04,28.44663851396699,21.54901733329186,24.83789773322649,9.922606155885846,98.27183728576242,26.513243690828535,37.256882216986234,44.40663977098068,58.17114703636498,202.29055862378306,93.77806852189723,120.06766241940619,132.49471925861928,194.70442245299927,342.73089646699304,217.13315227748802,279.4305233372549,310.55624115480884,385.9091924225291,533.0692838000981,417.01428743032756,482.4795956366787,544.011998835852,631.4548375008507,792.7879049396953
specialist_05,30.468029261196723,22.35373076238885,32.595449109512174,22.153413848947142,10.403839313324589,41.64767196512167,65.22740239770451,63.78443647337197,50.21375189013589,56.68760471391903,89.61431150752294,113.84620352772791,105.31657692598364,112.18005909468945,150.38629716605976,198.48710119805625,198.06348175847327,208.80616557528083,227.20800114922807,267.34431923944726,338.777791787268,328.15706548631516,334.25720204988414,358.3744628084959,395.6436306231555
specialist_06,33.30157269360794,79.31147606474092,169.64666489376992,292.4576150374764,497.11401062622656,8.814747000081224,74.9159890988683,131.93313039925098,254.5591955155594,448.3284993341131,74.41850396599791,109.14478969137657,157.47541382013637,247.44891325743032,409.1013664189358,198.07509629881383,242.32614550281383,274.40274210610414,317.77830702400075,457.7710533209468,332.7152953415012,424.8760421158555,463.14132520030887,482.38299167708664,559.8070429048317
specialist_07,316.2310103994593,112.28478541602492,184.86174980275163,324.5644664560355,498.7617286249109,83.44652005943475,10.64267623955165,87.95219555275716,234.5835715038177,433.8530164745936,52.46901794821065,75.50997875248032,135.86870435159852,260.3425417035774,442.6639329561352,276.94897874767577,285.1694836759785,302.7123857836365,396.4390050620269,560.169663964928,587.8072441480614,612.7144713913208,623.7860987415637,671.1599723730848,805.2406045408928
specialist_08,101.22284023822976,51.83425671360444,66.07811059807189,163.0540389152124,308.34483878305537,29.026233653876297,30.1140644299052,8.958237375913287,96.98825042697896,255.7571775036514,47.08632573646691,69.15778469196609,87.57520460344165,150.08472825540804,285.8093514042179,209.35362867893775,251.83004265779982,278.39395111989387,324.6674507271303,423.2788960130553,429.4001344048713,505.23764111575656,544.490973402629,595.3480996346434,675.2554504226036
specialist_09,114.16714809722707,71.61273116763326,58.0631953896409,56.597786164972796,111.0268678484922,43.646918990772555,38.98455561483815,35.476053188431614,11.917619307992716,71.54955998156572,43.233734663688615,53.41563206258691,59.256316555203576,72.50525171781621,138.7133955607274,171.67759500062357,177.81988078520237,202.48131710682196,244.3125405676737,301.24517424414864,324.7168608890002,406.9884619577191,461.02425229369555,509.7475510104544,552.6600732875693
specialist_10,151.05420857783614,42.66277174772877,34.18994178079656,37.20536922062302,42.974376776221646,48.525095378032496,28.536663307304707,27.245885663342122,26.46662119030032,14.213895618661896,46.97946741221469,76.27002121151736,82.20453705705454,80.95293955939472,103.05642496191236,189.74007044863453,218.2794454325051,240.50964457098814,249.54307134960254,283.70778673561114,406.7231170620075,462.0596362248268,497.20967114452196,531.6803646006573,582.9578576602763
