,train_01,train_02,train_03,train_04,train_05,train_06,train_07,train_08,train_09,train_10,train_11,train_12,train_13,train_14,train_15,train_16,train_17,val_01,val_02,val_03,val_04,val_05,test_01,test_02,test_03
specialist_01,1.8599737648589008,5.230697575989152,12.801589013188217,17.507995052560503,17.494843369999792,15.706598197592253,18.26818398123739,14.343548578844857,21.996162387615847,19.791863588669933,30.960469609832945,37.56967372934426,35.46952901958219,24.791676101273715,30.20075356741951,44.304288197311294,49.84739531602449,51.22758379455285,43.74121977063926,33.57758643206521,56.81650527335509,63.162916771217326,63.442982853135995,62.646410823228194,51.62766890247294
specialist_02,27.56998730518339,1.862745005533925,7.220987434266238,11.122765586875547,12.969477769553741,27.165823189209576,15.263438744117082,17.000641263565782,20.264947472469775,20.75657239591493,34.4335839823743,29.551860065614697,31.434071620440136,35.252898273274475,39.532523930732104,43.751330347768516,40.51090019397231,43.253551093708595,45.22525365096936,49.621130719744116,47.031383041497065,48.30074183786937,52.15233841287704,53.08440656591139,55.14964362592482
specialist_03,19.878455517431966,14.293329663582595,1.6794125078854294,10.26701655501325,16.037036684512778,29.999718518072644,26.988596474260035,18.945467396594278,15.128576618532554,13.488603837013814,38.756848212329984,36.32550666815519,33.50612117580704,31.821647923834593,30.426715758621693,47.987699721022615,43.03932125975895,42.23846454493121,40.71815441470199,41.98230478218604,52.68883549640078,48.86967986040233,47.57163155483935,47.145913861001276,49.31870074257414
specialist_04,17.2822277397035,21.30737112793713,17.242174946684532,2.0636445036823288,16.26471704926263,36.50805357539723,42.278318967559755,32.524461531192415,25.98963212929642,26.226026850022976,53.26333054123706,55.075331984452134,51.5644006111839,53.024207925245356,48.42941025024679,64.17004873641208,65.96816993492801,66.54719303135677,64.19955860286359,65.63677417645386,70.88967392011138,72.3708250927709,71.45409126230182,69.9227517108937,71.65996886696037
specialist_05,22.16435044828537,31.798007466313667,29.898802125506364,14.456049811915305,2.399143035892455,38.72004217015106,47.82298297737836,44.2002553934451,34.87173201860224,27.622834027107572,58.17755047544168,60.21742903970553,59.130178143017254,56.238356441648435,53.420145008528024,70.90388331649682,70.26890341538808,68.74729118553596,66.54673891352148,63.858315455170136,71.31243438860292,72.38714863649244,71.52341614389877,69.97206412695171,71.53305119366958
specialist_06,37.25591939811395,16.683302133241696,22.039962332689075,31.129966674977577,33.958669991485436,1.6714267299996937,6.785146983786444,15.981256520949087,22.242203547937876,27.445388715510557,17.41338541047606,15.07569336163127,10.71383690445096,15.07182291904411,16.79151847471539,37.38814559254029,35.43468524975447,31.12828954540585,18.988151983245256,22.324214618542968,53.06485854762366,49.442177726642115,45.82906216606145,37.954051406919916,22.997579918103895
specialist_07,50.02432970681028,14.573215224191907,25.35276811300681,28.759019706763308,30.243198510658026,27.410517157483778,1.3107643182887305,5.26397262500287,9.68998729663675,11.734149432203223,26.874689729457373,14.149761692523462,17.40370234540938,21.545156152480455,23.29599009042694,41.19694846082088,33.99978757718246,37.73949234128751,42.88369429720358,46.456064640352096,54.61083080899512,52.90080019342963,55.684633599447864,57.652018355473565,63.886984688140856
specialist_08,17.849636391100436,7.619129954455508,21.34462737922804,28.39621259248829,31.50667633742684,33.01204465187415,12.910126140952482,1.916358919784389,12.755938435717631,22.665342906411144,40.32670387624049,23.719437521048988,16.893870407885,10.4524413861216,7.383931260194293,45.59045649141985,40.976969813615085,39.036501532533684,35.23836081192255,26.919294158421806,50.379009945295195,54.02945833187296,54.42120516595128,52.26660333394362,47.1311134958698
specialist_09,15.181338383380782,10.40380954706595,13.528274333662045,22.060495553947316,28.40071049787514,19.347164313400125,15.195681346090533,9.429529176075635,1.7683694426324983,11.047319911346543,37.14059434995183,34.36765467638314,25.727526418386642,18.27671623459065,17.367904107906753,55.916503686415545,53.781147633179394,49.424873197824304,42.683392395203796,38.32978695531289,69.57169821635328,68.4865509792038,65.62128607477663,61.653159754823314,59.56544973574598
specialist_10,18.697011686259515,7.444924289245914,6.378161891396709,10.705353054313976,21.96597713105576,21.71786527350589,26.327051046601692,25.275357971173804,15.379347510088904,2.099990181872167,47.54383562484156,48.874830664942856,47.273701381095016,40.41142241299326,29.26699776419345,69.70196283525993,68.92525491007943,67.03222458455078,63.70786086192667,61.16080886749897,71.31243438860292,72.38714863649244,71.52341614389877,69.97488878966739,71.6282092100566
specialist_11,54.308408696980464,13.712226305183155,23.624317264717423,32.72300381843325,35.18830873760046,20.699229072551685,11.518065120059376,18.06953736531923,26.183367993088197,30.536833704785852,1.6733561698191561,6.289089961042181,13.167419031910322,23.342771172990684,29.293501119124976,13.828262120801815,11.794978794150554,7.37918698990337,12.501589024001849,23.64066403160011,39.42212287327712,37.37641524390195,29.72465846449612,14.670418954111113,16.43772040321722
specialist_12,67.03085713030643,13.180912568790646,27.635059329861196,33.544461327609255,35.17622165967748,30.95287784423776,9.292439811984421,17.862302273836374,24.192030349075463,27.83841997019933,11.184209541869102,1.7873279027000855,5.350375629531057,13.22990153105093,19.329952131721047,18.78517754013298,17.48169429722807,15.872933349594634,11.585768195098812,7.296945387902991,33.36448320924929,40.68632534979893,40.272829489661206,35.90146540871795,27.159431611431152
specialist_13,15.442826876033008,26.6126886739976,29.737507527513518,31.680966435835415,33.81041843356449,25.887835328118847,9.384648630676809,20.173434512725773,27.585504883942107,30.624527323150367,46.45179738658764,10.314148627500593,2.1841200944594403,12.244998184996,24.53974349780617,44.24501152258813,22.728550963810097,19.144215428684358,14.771425504313404,9.623940204067223,40.347272054534606,36.67733695555738,32.53211057255376,27.159840993943856,21.948255387711146
specialist_14,30.468103716816323,29.169525172965717,29.865128324426124,32.480912625523345,34.499574504868406,18.191500462194867,12.312472309871227,9.620361187698638,23.746680676844843,29.12430339249041,39.43346934402181,24.28269569661414,13.2049218684067,1.870881518329772,17.83113306614317,58.92686358296242,40.12476551239668,30.303678786679704,19.752609637285527,11.385698785433002,69.55458462833268,58.31514602267267,54.15294754892823,48.621282568887494,40.9698411549173
specialist_15,29.217691960973365,23.46181268483022,22.52661667633515,26.742379708225975,31.266191411275493,13.431881129035338,10.308170378868859,6.995351696179372,6.715917135920361,18.348743419666242,24.71802647118711,23.283920783806938,19.947533986112635,12.345255104191134,1.8563222632975926,53.20002007080179,47.87447273962586,44.40935498829645,34.18046301181994,21.24693251186514,71.08391861668055,70.3224495408637,66.19212041088787,58.062498516222036,49.19975331397278
specialist_16,69.53189628318368,68.31055299082381,30.362179300836065,21.0168460569095,28.777965309635036,70.09433768560714,24.80474180040416,20.297378232522544,23.957264695593913,30.600601101191753,36.87325063353922,9.61752938833074,14.596997191753292,21.31470136889465,26.029745457649298,2.250474112356079,4.933088992834299,11.430622379883163,16.96562017446114,23.236833953357685,8.441719139830115,9.20857216696828,8.776193000440308,15.527988176964467,18.38671861676901
specialist_17,42.85537114172636,11.63978356620535,28.12534300172971,30.328969317982352,32.059982118347,29.377732499360302,8.204748671945099,20.34181314077674,28.810786421197005,30.162297463289526,24.112288988118987,5.427815762033771,14.339606837624368,24.729685936335454,29.070640252986856,15.234690461643002,1.3696845891870446,5.255482452703605,16.24754150844055,26.089068761761446,11.174726279839463,13.207843278915966,12.266042891713335,7.912144414390712,9.203145271085356
dr_mlp,2.7871857972589296,2.136056426058385,2.5426451879841294,2.7297118239747893,2.9134524590375817,2.1288712559144343,1.960225296315879,2.5169331021621275,2.4462131647483143,2.6908956775962074,1.6830436380568534,2.3349355341213727,2.2361645779552055,2.356016998989867,2.653322122705148,1.9265040333979047,2.782434084962588,2.6344653269964606,2.8617525147781593,2.937121794539739,4.184946752762713,4.246294601971117,3.940072529553442,4.433853386276044,4.290056167317292
anp,5.907821357841637,2.4919074287615715,1.31478358767871,0.8306648939576964,1.1888190273977999,5.3933334404976705,1.563158252412991,0.7834064520006032,0.7092215296280893,1.925719736693839,3.6546408118670817,1.1559951906906263,0.7190099459496895,0.6805513913603947,1.7006019217251862,4.696298158400909,0.6922770342580128,0.8440476007936756,1.05884741361143,2.257412547387294,1.6634440540685151,2.416913689727843,3.018159934671466,4.54249798799449,4.147722197335276
