,train_01,train_02,train_03,train_04,train_05,train_06,train_07,train_08,train_09,train_10,train_11,train_12,train_13,train_14,train_15,train_16,train_17,val_01,val_02,val_03,val_04,val_05,test_01,test_02,test_03
specialist_01,13.406881992017544,90.90219470755196,228.33931176338731,440.95201897519996,766.077655169504,74.83680655965073,112.80263049860183,202.99181353672572,427.657859147364,745.8960236478445,169.39535914351782,192.578067217716,269.45104419459415,440.494903353474,708.3112620285218,336.2134317324777,383.0370889768903,448.52774906421297,551.0527519718734,745.0117314387751,627.726290736935,675.3573528228735,728.365511556685,788.44549647229,885.2016945116183
specialist_02,21.47822678587843,20.097715436133658,113.21269327654485,192.13295110903204,274.1451260852843,22.197912103385605,50.35243188576338,113.44056074127867,193.74072555653055,275.0083907526422,47.425805611288716,111.80440743728921,166.94561821019798,229.86210608605722,293.9886426582854,105.40089673370134,187.95450863109468,243.19989595448737,296.4391875018127,355.7956726917038,201.7764582527156,291.97365762731437,341.2743736974271,388.16846554728005,446.669789842711
specialist_03,25.63315646227006,20.95154594296528,11.927324223090121,64.97334907834977,134.68923449014494,23.092786552225988,25.627782105663957,52.947062567816076,113.73557765751984,178.54513231456355,43.854473964729586,89.43641533536072,141.27582283453958,212.65198443319892,277.3185599765173,118.13866473036599,198.80114037853212,263.93906171811284,337.4211964334291,406.97487286887036,222.78128886969208,368.4350721883273,449.0275206480646,513.4183973774149,575.6504584552365
specialist_04,84.12348702743688,58.12978157617165,51.861766484181786,28.265865568749266,73.3198613205795,95.50358246959836,90.38145467615921,68.70497114878384,53.448380927230744,137.3349476646619,61.2677503822549,60.376340905744065,67.20920548982325,116.67630942356901,239.54936724187198,27.57957304727356,50.53712799541014,102.06139555610294,222.07886182675108,386.3340421224146,77.79729668527864,106.59571625424248,262.2446674259936,416.01526413067836,608.5207924626616
specialist_05,26.05710637022257,32.92238103149381,33.03649811643285,18.737770762419924,22.4600844568509,36.303625344143725,47.215254643222025,46.52082603638587,45.01334109697099,71.70764310622388,70.59935610862664,83.93215243934824,93.04635165427571,106.35131490619841,142.49934562135445,130.87145096225777,157.99146530858664,178.37869421514844,206.2632272145802,235.93021539938601,216.67809226081764,268.8880594735515,305.95480487816985,326.19337669658574,350.8473391088404
specialist_06,28.884377857217224,85.57917363170569,195.1882091211703,326.3200535761482,566.672168648794,12.477596812770651,80.78256473257797,160.4116509180199,328.08335945055876,563.4335247422975,72.57952269384023,121.28868353771422,202.9505420075766,346.1635657888028,570.0646818639987,198.58316637945995,240.4251000447791,306.08635887418814,433.26130494140585,628.0468561169292,417.8030127308571,432.4726848170247,516.3481946106415,611.6677860615782,756.716157064458
specialist_07,231.9747460578323,93.71834712726854,170.655706020754,275.767403917454,389.79520617118726,27.419604600567006,11.87119901279812,98.47392298525385,224.46012774026534,361.7611319200766,24.239509545615466,68.3111754697902,131.89038314523822,234.17461145751534,372.44110968504674,96.07782835931796,187.90930877394823,241.12193517277072,319.95916202418147,444.38366262875684,245.7438097935572,368.30873197341634,425.8512588183987,499.1409000917357,598.2247501185047
specialist_08,113.52800944187882,51.121066292917334,78.3833837615622,168.20470623243799,289.59720333326106,26.821831520158042,13.700100609547624,15.199387707325494,101.54308306732584,224.32918848426198,26.605951336546557,42.18497968398494,66.17707545582499,136.00400413773835,234.90488569300854,95.07817638949403,159.39605013159505,196.46383426255667,248.3905323194513,325.3191991604429,221.97439845726134,344.8565420444018,392.39937651120334,434.55442764858685,489.06496409380577
specialist_09,73.91796085324938,41.85096979505368,34.249968743921144,46.404563293760624,98.75092666734871,24.322114337241054,18.233265815853283,17.455477779100107,15.483801132843514,87.92890909909536,32.16962482627601,41.89209812124264,48.29707075722959,77.37305185725548,136.21109964591574,96.56465809039214,134.1856282110008,170.09089580620733,223.60289297319247,254.29859715539934,249.4510572973243,342.026199932524,387.6773588670278,437.00533139453285,465.57765997279216
specialist_10,213.7978578933867,74.14740552417537,73.91059849990839,78.89080577996607,76.16683253196648,75.5233843854855,66.3957665024116,52.617596550118826,56.996256525596756,28.714629222062428,88.92180834939798,117.01833817338627,89.37278720792469,80.49918273556008,81.11848052898316,174.10692831876443,195.4168586943788,203.33640493105392,235.90360950569786,263.029213127819,376.8053040043257,422.11833364692563,474.07764718775826,525.2533141990702,557.9114148790372
specialist_11,222.02421702295797,127.74792809901724,311.9440555801308,519.6235230076223,869.6318604826971,63.31362638010625,75.81382982261428,225.0061091752178,455.37398505257704,820.9249788378595,19.79156097851462,65.50126344035071,215.85168195386572,450.3217160463935,802.6130060589012,186.87696629927657,196.68864953060884,325.97593220422823,532.9966254638192,874.9755781499522,443.939831996132,469.4443493769969,586.6587844515931,756.0607652403203,1050.2331862930002
specialist_12,316.5603252278775,215.9594875978282,294.5839257972249,471.20093090856244,708.8195061558426,114.85955960775244,83.81029064457476,163.9978066871622,344.6971380101315,573.6696152589855,15.851587367657674,11.844829105654687,102.4347611526583,258.0282020147767,455.58898559364644,14.454611946045736,35.97106178216075,80.3507486676652,200.029893492822,394.62652742195627,31.5833580348673,62.66336597242444,101.89059545780309,185.91494687402135,348.09655117540086
specialist_13,351.21789677991734,196.26189238565357,205.14036247692871,294.62078164932825,422.7446823502006,83.2844074008411,62.25419084629159,80.5058720120392,177.61082133104364,301.16507708781995,17.027351186990877,12.258171782165713,13.65278199116841,95.77600563059904,202.14858257335618,15.769871788387352,31.97867295039328,41.56618151742812,74.54258095451036,168.34236191381495,22.665054181342626,79.99738074486622,97.1045015802621,113.26172626843878,191.72390128548932
specialist_14,597.5670163522386,243.50437844869913,176.90378514936566,204.84470419960942,259.8077970193613,186.49074025072903,66.19975547707944,56.276619470241044,65.92055418032693,150.5733590161472,44.732962575499464,20.648757397487092,17.090988287561103,14.366782839633508,91.37339289460917,113.84545492507405,76.42076738759043,69.63257926990276,77.49277194160382,124.42418548921539,198.0424166030357,191.42920916916722,201.66583006463915,226.58972613245962,270.0931063934518
specialist_15,795.5348649249049,315.8119325820896,283.21502422523383,319.1837019764476,325.43702249404504,338.25018129552274,93.6203080399341,114.36430382827271,97.98818646190556,91.32769090913453,65.17100482639793,61.153699379515174,79.3340479608757,50.68161023533475,27.149078282109272,76.5128159095555,104.26697372118223,109.14427494099259,83.54082058564327,62.47281107167066,259.0909257318178,304.19868903161506,307.64659794818596,292.1646697907253,243.90301050933226
specialist_16,189.32659973857952,104.03161759075282,129.49763056428316,162.6507817202552,242.79646680123207,74.74577975867744,77.93523863488076,101.41943871698723,144.3203155182504,248.68079673335095,30.099708539693165,55.59489507729564,83.44341641066384,152.21614594482438,266.5362819181806,13.788245152608443,50.78421710696165,84.39647828421913,167.31672409158125,303.8792622298999,53.72820396350188,89.41187514437267,125.65049614391464,208.65981175987403,356.1757523728153
specialist_17,465.87024110765765,266.44877641832943,294.81058188884145,421.7420301865648,574.6570658317225,190.0324464865682,134.35780388388898,196.1227731195356,333.2781800499637,489.3658324803615,55.80964781298628,40.986968229130014,112.35700459655936,246.3354274874975,394.69103989651876,24.532181100298754,7.418779782386786,69.2593641282523,179.05547796827364,333.24727272030924,51.6359224956342,48.777807959672856,95.10558449514934,177.83857678076967,311.3306737672021
