,train_01,train_02,train_03,train_04,train_05,train_06,train_07,train_08,train_09,train_10,train_11,train_12,train_13,train_14,train_15,train_16,train_17,val_01,val_02,val_03,val_04,val_05,test_01,test_02,test_03
specialist_01,3.2164070216884024,9.090058697708352,14.077956747705676,15.612621391636809,27.2428869915962,21.75611111960413,12.981606430488055,14.833323166892907,21.808614009426194,18.644423874384415,39.58707125904071,34.38055526549075,31.394826738401388,28.622312457592102,21.315401658362724,53.28751878544989,48.44805174539019,49.32047730638207,39.53916163100628,31.857234240148244,70.20065929144036,64.62496783265152,63.63227513848718,59.4282585855022,41.208308732399416
specialist_02,27.091628971702917,2.5974614819925943,8.892993070607098,12.56788497438142,20.1184451356972,31.133973505471854,17.010469576625418,16.146212518594957,14.584311607278739,12.850651051311923,36.18233206428465,31.94907073342555,31.25520342397866,25.323463989901096,19.65804479033141,42.610840544824946,43.108453453884266,42.684373144526745,38.58347160509163,29.66390086964669,48.70839102220066,52.88188095577325,51.155620122008614,47.635707084652395,40.361399622127614
specialist_03,13.128220026336924,6.815140181744936,1.899980094566601,12.037145410641296,20.878498066765665,22.016604370848693,22.897286889727056,17.450946974863413,19.71594565927364,15.79199653913998,35.49627894187754,34.124523436535675,34.79546566185356,41.13689540973138,41.08617418184592,47.296310323905914,46.097040454188026,49.431388862565655,53.50346459259759,57.1395814592557,56.6492039170385,58.62402149393773,61.10471521508846,63.420286606118566,67.60740432521453
specialist_04,15.796280654841414,25.427867599315242,17.179974320362565,2.612255680835925,21.749074988535096,32.71327425188738,40.90208324323953,28.467683534933,24.23463580604356,28.92735267586322,43.34468310065422,44.08584761793394,36.812904272699924,39.0333792078289,40.21326026882089,40.83222291413036,41.65866616892073,44.783907377779215,46.438231781145056,49.91408146113754,45.0783649045426,50.560919880856865,54.0823168679339,56.97000761890253,63.97206972348151
specialist_05,22.50053434321559,40.44367697173294,37.59732540756258,20.155135849923767,2.2149621465952114,36.94626529048907,55.32862157639373,50.05408631175551,39.51851616207468,26.293075097177358,57.038511181426536,65.26706747866425,63.27280527399177,60.440219137032,50.5339858681338,70.61407278927702,72.24083430550789,71.02522996887592,69.06383467462237,61.50910921663748,71.02083698317998,72.38633621585059,71.21157306034594,69.90158584895036,70.98109539654295
specialist_06,13.571544334874675,14.733033130799146,15.256449919986144,18.859682695471683,23.14644610280119,3.7694230226274197,5.82156803423271,10.031444194671074,14.908989611373553,16.972556090251704,16.827921730516085,13.831543707356865,14.934013119095345,14.547074544123399,22.05077933007023,34.394964600714964,33.08928701641701,33.22822715528662,30.589552539457937,23.866307723267187,51.1960889049828,45.764035122298914,44.10019107671396,42.12282505293923,33.911539821458774
specialist_07,31.596683614435417,16.688537532979844,24.6824772357434,26.710993267026318,29.225398757405944,38.90697684512876,2.1556568628561195,4.66624842941753,9.392462333989851,12.095381827212728,36.66474441536372,18.902103540121857,19.109270647913853,20.57211592780735,22.34432181319889,44.925405866771875,42.1868855814098,41.88071178884429,42.305714803011675,44.58183020718928,59.30778904143752,59.20593078527954,59.47238161720686,58.90062834039843,60.07712916015758
specialist_08,28.540845370945995,6.179997718447302,19.96868706076487,27.801758808650355,31.505593439374447,43.75320854899214,15.139759262839389,1.919540872742428,13.436222781649418,21.908781958459702,48.93735708552511,24.677730721882646,16.727539275450244,14.024962400985538,12.379218265390648,51.428290528078925,39.36971325424842,37.50878794906512,35.9306289394813,34.46731592548392,55.52508360887727,53.33128269031193,54.2141439367699,53.66784434420857,55.5415084305013
specialist_09,15.448734297679628,11.015885763633412,8.111850004625342,12.999435771260716,25.83124538640854,25.82469117137816,21.64608227347224,12.971880296837655,1.8922435107074635,11.020244039911255,37.13634807821424,32.44674336064905,26.632610506128273,24.553319433125615,23.2153882364045,57.800147921787556,53.675997848077074,52.275145388373566,50.475128982640484,46.2924427723222,71.02083698317998,70.72277200820558,69.68769338786241,65.520569609693,61.50064909306533
specialist_10,21.445153029801705,8.857032250966022,6.900108015541909,13.247339689210987,22.655159492965016,22.57954064690808,25.538811460113042,22.21229297252062,12.054198303546343,2.48893554126167,40.67734791865695,44.67736395252088,40.99051354410882,32.5386697512212,24.38497809606261,59.26725321244504,61.55783266742527,57.28616267178069,52.706206942813814,50.393510927302074,68.80464223881162,70.83768428666828,69.74324285498966,67.5637590310419,65.57184840491121
specialist_11,50.669325975567325,14.662213921397639,24.6421121930634,33.856608913831586,36.357227327700585,16.533885377025406,13.697992843957342,20.871159441155385,26.281225816536494,31.01910204214523,3.659767619272972,5.167514049494778,12.5699306765162,20.188722987931143,24.603510496142587,10.014485093485419,10.021406953391248,7.26422390510263,11.315083561912264,17.464597967282895,27.260192753792833,30.017737059364205,27.120445379804206,17.446951228347622,17.68152625797102
specialist_12,24.33009208918411,22.96874688786527,28.49060757937519,31.28935641721005,33.15839036638593,32.80611649379207,10.580260351660145,18.925027446294678,24.40881473846396,28.56928339218098,13.386500185509599,1.659242009444646,4.642193413963984,12.81671717965541,19.17017596699384,15.584372645878762,16.067627986927587,15.384031728005215,13.687788385895825,11.571693026954637,31.31670218367884,32.47085050577634,32.90108955412905,34.88271155952946,31.00615493101313
specialist_13,25.96212143161559,22.501507353134464,29.04193170049409,31.373863162374228,33.16763630397172,31.2043223801385,9.126764106722613,18.78612271382724,26.566147874231415,30.492061100733302,39.474123470668175,11.637976244088046,1.870620936285822,13.142043198034035,24.882575028508114,46.4237099977269,23.544494108139876,14.426725515332755,9.11640200184605,12.690508744421697,50.09948410035456,36.286521981552205,27.271142431361483,19.673553546657807,14.000025768292907
specialist_14,26.469754040841075,23.628260209107637,26.351728055263948,30.595611936067076,33.157796716833005,15.484985943224828,7.355045874970865,10.498656198409536,19.61149447468033,28.13591291849677,27.828684895704118,17.311119799641215,9.595809142994352,2.1884661095226776,13.056792576611976,46.95564246263564,34.47654951230752,25.713732551835847,17.523483396741796,12.619790010854016,56.80757889777694,52.37064753110986,47.11580903172936,38.3319268888986,30.961322972112992
specialist_15,30.918900596693387,27.050178882788362,26.54590402412985,31.175420153989062,33.63187295028205,22.07467721552513,11.844072721090615,10.412506494544257,15.298860699497224,24.725499989002117,18.258916494295878,25.43558075048065,22.158075575257858,12.62072682094862,2.9419254578938703,47.86136728652979,46.098215406288624,43.93571626250003,34.128451075363024,21.431124031606757,64.3255816720693,61.112485690525304,59.40881443349353,52.4374919472651,46.80703625727741
