epoch,train_loss,train_nll,train_mae,val_loss,val_nll,val_mae,lr,sec
7,-0.219663,-0.219663,142.561373,-0.279410,-0.279410,136.054205,1.00e-04,4.0
2,0.985399,0.865368,192.387603,0.409222,0.407046,164.031832,1.00e-04,5.3
8,-0.258304,-0.258304,138.990632,-0.294717,-0.294717,132.252084,1.00e-04,4.0
3,0.505632,0.456341,172.547408,0.099694,0.098449,157.715299,1.00e-04,5.4
1,2.797618,1.620330,307.976590,0.985855,0.975251,236.733404,1.00e-04,6.3
9,-0.284031,-0.284031,136.191594,-0.296410,-0.296410,134.775830,1.00e-04,4.1
4,0.168588,0.137119,158.341514,-0.128350,-0.129143,145.202714,1.00e-04,5.3
2,1.003063,0.925635,231.111232,0.410327,0.405273,166.336424,1.00e-04,5.5
10,-0.304943,-0.304943,133.456474,-0.318859,-0.318859,131.166220,1.00e-04,4.1
5,-0.053889,-0.078685,148.660896,-0.225508,-0.226137,140.510457,1.00e-04,5.7
11,-0.320136,-0.320136,131.519881,-0.308033,-0.308033,131.011906,1.00e-04,4.4
3,0.453129,0.421373,180.747889,0.064566,0.061592,160.919741,1.00e-04,5.7
12,-0.333519,-0.333519,129.374059,-0.324370,-0.324370,131.440490,1.00e-04,3.9
6,-0.162945,-0.181220,142.518051,-0.226410,-0.226866,137.807948,1.00e-04,5.5
4,0.173629,0.153430,172.177687,-0.091712,-0.093849,159.002577,1.00e-04,5.6
13,-0.345321,-0.345321,127.349411,-0.307104,-0.307104,128.472365,1.00e-04,4.0
7,-0.213289,-0.227434,138.949941,-0.258726,-0.259145,135.151883,1.00e-04,6.0
5,0.024098,0.008875,168.412745,-0.161513,-0.163131,151.203650,1.00e-04,5.4
14,-0.364851,-0.364851,123.254708,-0.333983,-0.333983,127.283660,1.00e-04,4.1
15,-0.388893,-0.388893,118.404490,-0.317947,-0.317947,123.781960,9.99e-05,4.1
6,-0.117949,-0.131509,146.820183,-0.289277,-0.290784,122.821024,1.00e-04,5.4
8,-0.248938,-0.260270,135.477030,-0.272025,-0.272331,133.174871,1.00e-04,6.0
16,-0.408841,-0.408841,114.505750,-0.348376,-0.348376,118.489369,9.99e-05,4.0
9,-0.274687,-0.284048,132.737677,-0.274740,-0.274964,131.938545,1.00e-04,5.7
7,-0.330336,-0.344510,110.711278,-0.581796,-0.583304,77.548145,1.00e-04,5.7
17,-0.430285,-0.430285,110.717709,-0.347764,-0.347764,120.708730,9.99e-05,4.5
8,-0.506810,-0.521159,91.767170,-0.803859,-0.805389,55.160083,1.00e-04,5.4
18,-0.446228,-0.446228,108.116215,-0.345712,-0.345712,118.346647,9.99e-05,4.0
10,-0.300580,-0.308480,128.750581,-0.292237,-0.292431,126.176667,1.00e-04,5.6
19,-0.462992,-0.462992,105.597808,-0.346050,-0.346050,118.309472,9.99e-05,4.2
9,-0.614460,-0.628050,81.537722,-0.892755,-0.894131,53.665869,1.00e-04,6.1
