epoch,train_loss,train_nll,train_mae,val_loss,val_nll,val_mae,lr,sec
1,3.264445,1.758065,348.655349,1.048045,1.033039,233.127035,1.00e-04,7.4
2,1.184398,1.009047,213.857845,0.547742,0.539553,164.885007,1.00e-04,7.0
3,0.693324,0.616476,181.473021,0.278223,0.272960,161.333312,1.00e-04,6.5
4,0.373993,0.332370,167.751014,0.048854,0.044795,152.199805,1.00e-04,6.8
5,0.154963,0.121034,157.976133,-0.118349,-0.121903,146.275638,1.00e-04,6.9
6,-0.052916,-0.082664,137.331592,-0.260531,-0.264708,125.457576,1.00e-04,6.2
7,-0.207557,-0.233251,119.001041,-0.311991,-0.314803,118.750419,1.00e-04,6.5
8,-0.299639,-0.319229,112.190475,-0.340399,-0.342655,113.638469,1.00e-04,6.6
9,-0.373950,-0.391355,108.756610,-0.369654,-0.371872,112.936059,1.00e-04,6.6
10,-0.427777,-0.443521,104.931585,-0.376763,-0.379817,117.059751,1.00e-04,6.5
11,-0.473334,-0.487318,100.827301,-0.373769,-0.375545,118.831794,1.00e-04,6.9
12,-0.527894,-0.539738,95.848301,-0.469557,-0.471743,107.711966,1.00e-04,6.5
13,-0.582666,-0.595407,90.027135,-0.490350,-0.492285,104.536119,1.00e-04,6.5
14,-0.629683,-0.640766,85.372856,-0.495642,-0.497772,106.659658,1.00e-04,6.5
15,-0.656500,-0.668485,82.060231,-0.568529,-0.570459,95.864820,9.99e-05,6.9
16,-0.690310,-0.701377,78.715686,-0.542425,-0.544068,98.360350,9.99e-05,6.6
17,-0.713485,-0.721909,77.000602,-0.589349,-0.591018,94.290797,9.99e-05,6.2
18,-0.725389,-0.735312,75.684372,-0.602137,-0.603439,91.925493,9.99e-05,6.6
19,-0.747492,-0.756055,73.919773,-0.582022,-0.583548,93.140094,9.99e-05,7.0
20,-0.765753,-0.774441,72.668370,-0.625486,-0.626784,91.275929,9.99e-05,5.9
21,-0.783017,-0.789861,71.040601,-0.626028,-0.627201,91.364843,9.99e-05,5.7
22,-0.804368,-0.811279,69.565648,-0.648482,-0.649432,88.417168,9.99e-05,5.7
23,-0.807082,-0.813805,68.972844,-0.648453,-0.649856,87.482933,9.99e-05,6.0
24,-0.813523,-0.818605,68.639971,-0.657429,-0.658482,88.841667,9.99e-05,5.8
25,-0.835295,-0.839664,67.193543,-0.654337,-0.655441,86.893659,9.98e-05,6.5
26,-0.838404,-0.843811,66.921829,-0.679189,-0.680083,83.201890,9.98e-05,5.7
27,-0.851202,-0.855993,66.274643,-0.681417,-0.682178,86.675777,9.98e-05,6.9
28,-0.860395,-0.864247,65.574454,-0.695416,-0.696176,83.143033,9.98e-05,5.8
29,-0.871649,-0.875238,64.992529,-0.680649,-0.681456,81.627756,9.98e-05,6.8
30,-0.880323,-0.884082,63.775970,-0.697092,-0.697705,82.253083,9.98e-05,6.0
31,-0.895351,-0.898146,62.919417,-0.707724,-0.708375,83.139013,9.98e-05,6.6
32,-0.889142,-0.892738,62.806342,-0.726280,-0.726807,80.455255,9.97e-05,5.7
33,-0.908308,-0.911418,62.224165,-0.720003,-0.720499,80.826176,9.97e-05,6.3
34,-0.909371,-0.912627,61.746801,-0.711873,-0.712279,81.701554,9.97e-05,5.6
35,-0.905900,-0.908859,62.338521,-0.732921,-0.733643,79.128971,9.97e-05,6.9
36,-0.915503,-0.918078,61.623683,-0.733884,-0.734336,80.009283,9.97e-05,7.1
37,-0.931048,-0.934054,60.644045,-0.746245,-0.746647,78.867329,9.97e-05,5.7
38,-0.928113,-0.931635,60.446822,-0.730940,-0.731317,79.601991,9.96e-05,5.9
39,-0.942825,-0.944888,59.911665,-0.711631,-0.711986,81.255298,9.96e-05,6.6
40,-0.947607,-0.949506,59.342360,-0.735350,-0.735635,78.922305,9.96e-05,5.7
41,-0.945922,-0.947313,60.075448,-0.770024,-0.770303,77.105150,9.96e-05,6.3
42,-0.963234,-0.964810,58.898758,-0.741962,-0.742238,75.407707,9.96e-05,5.7
43,-0.959865,-0.961484,59.204843,-0.718277,-0.718734,78.383446,9.95e-05,6.8
44,-0.966140,-0.968819,58.723103,-0.769676,-0.769986,76.869164,9.95e-05,5.8
45,-0.963251,-0.965244,58.813546,-0.744108,-0.744473,78.184340,9.95e-05,5.8
46,-0.972057,-0.973571,57.931275,-0.762369,-0.762576,75.245570,9.95e-05,6.1
47,-0.983007,-0.984745,57.443678,-0.776096,-0.776299,74.009178,9.95e-05,6.9
48,-0.985800,-0.987440,57.486163,-0.805682,-0.805838,72.699710,9.94e-05,6.0
49,-0.979814,-0.982318,57.576078,-0.742317,-0.742530,73.968273,9.94e-05,6.0
50,-0.982699,-0.983959,57.574598,-0.786251,-0.786400,74.036775,9.94e-05,6.7
51,-0.989462,-0.990557,57.118373,-0.811085,-0.811243,71.409757,9.94e-05,6.1
52,-1.006478,-1.007495,56.245056,-0.787677,-0.787804,75.021068,9.93e-05,6.9
53,-0.997884,-0.999316,56.088540,-0.798892,-0.799038,72.592439,9.93e-05,6.1
54,-1.002894,-1.004009,56.059212,-0.792293,-0.792442,74.054419,9.93e-05,6.2
55,-1.007562,-1.008713,55.820109,-0.806181,-0.806274,72.758257,9.93e-05,6.7
