2026-06-29 10:25:29,430 INFO    MainThread:3165318 [wandb_setup.py:_flush():81] Current SDK version is 0.28.0
2026-06-29 10:25:29,431 INFO    MainThread:3165318 [wandb_setup.py:_flush():81] Configure stats pid to 3165318
2026-06-29 10:25:29,431 INFO    MainThread:3165318 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-06-29 10:25:29,431 INFO    MainThread:3165318 [wandb_init.py:setup_run_log_directory():725] Logging user logs to /home/fer/tesis/sensor-agnostic-underwater-localization/output/hydra/training/2026-06-29/context_target_separated/wandb/run-20260629_102529-9yvu6yly/logs/debug.log
2026-06-29 10:25:29,431 INFO    MainThread:3165318 [wandb_init.py:setup_run_log_directory():726] Logging internal logs to /home/fer/tesis/sensor-agnostic-underwater-localization/output/hydra/training/2026-06-29/context_target_separated/wandb/run-20260629_102529-9yvu6yly/logs/debug-internal.log
2026-06-29 10:25:29,431 INFO    MainThread:3165318 [wandb_init.py:init():768] calling init triggers
2026-06-29 10:25:29,431 INFO    MainThread:3165318 [wandb_init.py:init():773] wandb.init called with sweep_config: {}
config: {'exp_name': 'context_target_separated', 'seed': 1, 'device': 'auto', 'training': {'epochs': 1000, 'batch_size': 32, 'lr': 0.0001, 'weight_decay': 1e-05, 'beta': 1.0, 'num_workers': 1}, 'model': {'name': 'anp', 'num_hidden': 128, 'dropout': 0.2}, 'data': {'traj_method': 'hermite', 'traj_mode': 'shared', 'data_dir': '../../data/data_random_positions/hermite_shared/processed/geometry_split', 'normalize_y': True, 'ctx_min': 5, 'ctx_max': 80, 'val_ctx': 20, 'ctx_sample_mode': 'first', 'exclude_ctx_from_target': True}, 'wandb': {'enabled': True, 'offline': False, 'project_name': 'sensor-agnostic-underwater-localization', 'entity': 'fernandofs', 'group_name': 'context_target_separated', 'run_name': 'anp_seed_1', 'dev': False, 'tags': None}, '_wandb': {}}
2026-06-29 10:25:29,431 INFO    MainThread:3165318 [wandb_init.py:init():816] starting backend
2026-06-29 10:25:29,431 INFO    MainThread:3165318 [wandb_init.py:init():831] sending inform_init request
2026-06-29 10:25:29,712 INFO    MainThread:3165318 [wandb_init.py:init():836] backend started and connected
2026-06-29 10:25:29,714 INFO    MainThread:3165318 [wandb_init.py:init():906] updated telemetry
2026-06-29 10:25:29,718 INFO    MainThread:3165318 [wandb_init.py:init():929] communicating run to backend with 90.0 second timeout
2026-06-29 10:25:31,082 INFO    MainThread:3165318 [wandb_init.py:init():974] starting run threads in backend
2026-06-29 10:25:31,177 INFO    MainThread:3165318 [wandb_run.py:_console_start():2523] atexit reg
2026-06-29 10:25:31,177 INFO    MainThread:3165318 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-06-29 10:25:31,177 INFO    MainThread:3165318 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-06-29 10:25:31,177 INFO    MainThread:3165318 [wandb_run.py:_redirect():2465] Redirects installed.
2026-06-29 10:25:31,179 INFO    MainThread:3165318 [wandb_init.py:init():1012] run started, returning control to user process
