epoch,train_loss,train_nll,train_mae,val_loss,val_nll,val_mae,lr,sec
1,4.289733,0.938533,197.300272,0.546843,0.528657,163.411449,1.00e-04,8.4
2,0.592256,0.356971,169.392011,0.095106,0.089786,161.484717,1.00e-04,8.5
3,0.204540,0.040339,166.438882,0.023940,0.018346,160.251153,1.00e-04,8.5
4,0.073919,-0.057731,163.333706,-0.096779,-0.099746,158.330675,1.00e-04,9.1
5,0.020561,-0.088236,159.958776,-0.067103,-0.068954,155.779133,1.00e-04,8.7
6,0.002025,-0.088023,155.499693,-0.024206,-0.026200,151.994733,1.00e-04,8.1
7,-0.125316,-0.192223,145.411728,-0.196033,-0.197509,142.481420,1.00e-04,8.8
8,-0.212381,-0.258110,136.584682,-0.218701,-0.219780,138.667389,9.99e-05,9.3
9,-0.259342,-0.292906,132.230385,-0.237235,-0.238238,138.067291,9.99e-05,8.9
10,-0.294494,-0.320141,129.350119,-0.232255,-0.233308,134.067444,9.99e-05,8.3
11,-0.325801,-0.344377,126.342424,-0.239568,-0.240330,131.504143,9.99e-05,8.6
12,-0.354525,-0.369219,122.771364,-0.263994,-0.264618,132.746043,9.99e-05,8.5
13,-0.390121,-0.401574,117.693748,-0.247664,-0.248058,127.551872,9.98e-05,8.2
14,-0.426328,-0.435658,111.902098,-0.193071,-0.193741,127.405044,9.98e-05,8.4
15,-0.455174,-0.463216,107.829941,-0.284010,-0.284744,133.734697,9.98e-05,8.2
16,-0.484706,-0.491744,103.606539,-0.236517,-0.236894,124.351512,9.97e-05,8.2
17,-0.511862,-0.518505,99.287994,-0.148732,-0.150622,127.801235,9.97e-05,8.8
18,-0.543993,-0.549757,93.101243,-0.158928,-0.159041,116.239564,9.97e-05,10.2
19,-0.567366,-0.571779,90.661442,-0.230392,-0.231667,116.823501,9.96e-05,8.4
20,-0.595971,-0.599839,86.874039,-0.103086,-0.103687,114.614477,9.96e-05,10.3
21,-0.618410,-0.622070,85.606840,-0.206393,-0.206583,112.259677,9.96e-05,9.0
22,-0.653553,-0.656596,81.798553,-0.071732,-0.071874,110.527678,9.95e-05,8.1
23,-0.673683,-0.676438,78.574654,0.068838,0.068750,108.457296,9.95e-05,8.6
