epoch,train_loss,train_nll,train_mae,val_loss,val_nll,val_mae,lr,sec
1,428.504232,428.504232,218.453695,20.516307,20.516307,206.630720,1.00e-04,6.2
2,17.612409,17.612409,204.416478,15.139301,15.139301,203.779138,1.00e-04,6.3
3,13.805494,13.805494,202.953368,11.479048,11.479048,202.836393,1.00e-04,6.8
4,14.994256,14.994256,201.968998,16.439213,16.439213,203.159597,1.00e-04,6.4
5,24.233646,24.233646,202.031277,37.116123,37.116123,202.828181,1.00e-04,6.6
6,57.270039,57.270039,201.391339,36.906744,36.906744,201.945629,1.00e-04,6.1
7,47.191404,47.191404,201.315961,363.206165,363.206165,201.246726,1.00e-04,6.7
8,38.420772,38.420772,200.194895,12.599043,12.599043,201.120533,9.99e-05,6.4
9,69.027761,69.027761,199.187450,136.016665,136.016665,199.023480,9.99e-05,6.2
10,285.293236,285.293236,198.664586,491.719081,491.719081,198.722678,9.99e-05,6.1
11,257.875154,257.875154,198.901101,97.679868,97.679868,201.193796,9.99e-05,6.2
12,84.994907,84.994907,199.285893,46.571486,46.571486,198.349229,9.99e-05,6.0
13,50.614629,50.614629,195.891588,969.593901,969.593901,192.478811,9.98e-05,6.0
14,228.820352,228.820352,192.226801,156.188486,156.188486,192.052062,9.98e-05,6.5
15,191.674510,191.674510,191.878403,155.743915,155.743915,192.226598,9.98e-05,6.3
16,160.954531,160.954531,193.468929,109.402489,109.402489,195.869340,9.97e-05,6.3
17,151.695328,151.695328,194.906231,93.795687,93.795687,192.196024,9.97e-05,6.1
18,132.159420,132.159420,193.547752,5.932134,5.932134,186.062154,9.97e-05,6.2
19,359.345676,359.345676,191.534509,334.598832,334.598832,191.829760,9.96e-05,6.0
20,221.278173,221.278173,201.167004,150.806174,150.806174,204.224974,9.96e-05,6.1
21,181.348445,181.348445,207.680423,152.784799,152.784799,207.364213,9.96e-05,6.1
22,349.738525,349.738525,182.827718,144.174102,144.174102,168.334171,9.95e-05,6.3
23,464.210747,464.210747,171.677427,651.182944,651.182944,174.360616,9.95e-05,6.3
24,327.066684,327.066684,184.231980,68.735084,68.735084,191.518864,9.94e-05,6.2
25,140.026319,140.026319,185.052480,9.214717,9.214717,158.424535,9.94e-05,7.0
26,369.865675,369.865675,168.270942,349.911921,349.911921,169.167280,9.93e-05,6.0
27,191.861390,191.861390,182.017101,215.116920,215.116920,184.614197,9.93e-05,5.9
28,92.820664,92.820664,186.597485,169.252810,169.252810,187.524218,9.92e-05,6.0
29,80.451679,80.451679,189.480187,113.179000,113.179000,190.424081,9.92e-05,6.1
30,69.835934,69.835934,192.647947,124.778745,124.778745,193.562440,9.91e-05,6.5
31,57.986814,57.986814,195.349048,88.077735,88.077735,195.739685,9.91e-05,6.0
32,33.194348,33.194348,188.996356,19.220272,19.220272,159.522093,9.90e-05,6.2
