epoch,train_loss,train_nll,train_mae,val_loss,val_nll,val_mae,lr,sec
1,169.921165,164.997767,191.276164,5.934282,5.627164,129.180860,1.00e-04,10.9
2,249.411145,248.949347,109.782001,307.996688,307.841774,110.168841,1.00e-04,9.6
3,431.506121,431.116577,124.055677,351.669642,351.515310,127.827057,1.00e-04,9.5
4,398.497674,398.116385,145.161422,224.612337,224.458695,161.507851,1.00e-04,9.3
5,394.991865,394.619812,173.775665,358.256534,358.103313,178.141560,1.00e-04,9.7
6,337.285153,336.882885,179.844358,309.544976,309.391912,182.084119,1.00e-04,9.3
7,311.015274,310.631625,183.688909,348.749927,348.596560,184.842351,1.00e-04,9.2
8,267.472035,267.069782,184.815187,274.757296,274.603114,184.941285,9.99e-05,9.3
9,229.028943,228.623465,188.354280,159.962949,159.805945,189.017485,9.99e-05,9.5
10,185.524347,185.083195,193.558845,168.168874,167.995928,199.302179,9.99e-05,9.5
11,964.200652,963.823070,201.731708,6065.515547,6065.414642,275.699104,9.99e-05,9.3
12,1860.861327,1860.651232,255.170147,348.625478,348.519615,234.373451,9.99e-05,9.3
13,2331.286117,2331.052754,170.865234,1405.123668,1404.993698,164.873493,9.98e-05,9.4
14,1093.111375,1092.882112,164.928697,1371.854607,1371.725595,163.263858,9.98e-05,9.4
15,819.241620,819.000538,164.814451,1685.596538,1685.456162,164.617970,9.98e-05,9.7
16,540.207034,539.777267,171.729142,848.511176,848.089213,177.403657,9.97e-05,9.5
17,1490.384549,1489.930113,126.640131,130.791052,130.712807,106.209565,9.97e-05,9.2
18,1305.553726,1305.412882,162.232057,83.335428,83.267391,193.006877,9.97e-05,9.4
19,435.152523,434.909451,199.314427,185.787453,185.697159,161.590287,9.96e-05,9.3
20,237.908139,237.732106,153.919518,170.043793,169.955309,146.032652,9.96e-05,9.3
21,210.846649,210.676668,143.115544,288.144147,288.058019,136.338567,9.96e-05,9.3
22,171.332327,171.160036,136.095461,166.539228,166.455234,131.127507,9.95e-05,9.4
23,141.622377,141.456343,136.513919,119.539435,119.456077,135.060149,9.95e-05,9.5
24,108.419346,108.242049,153.665883,116.675321,116.583623,169.086593,9.94e-05,9.5
25,76.840248,76.583795,192.718858,55.995416,55.841110,204.474069,9.94e-05,9.3
26,50.495044,49.690064,211.491843,45.842538,45.337045,208.881339,9.93e-05,9.6
27,32.969653,31.003582,203.320199,25.994037,25.353770,192.808247,9.93e-05,9.5
28,22.925153,20.827935,174.906121,4.546196,4.470240,67.220430,9.92e-05,9.4
29,138.225080,138.076505,151.836067,57.862526,57.787609,208.385959,9.92e-05,9.2
30,55.255556,55.129243,73.938149,80.352545,80.299058,56.603391,9.91e-05,9.1
31,66.481644,66.370424,88.701264,38.627122,38.573565,126.070482,9.91e-05,9.4
32,49.008890,48.893531,151.853618,58.168249,58.111346,163.484533,9.90e-05,9.3
33,118.946733,118.830124,163.536887,99.086605,99.039101,222.485609,9.89e-05,9.3
34,74.904672,74.788413,219.779990,43.688983,43.636686,224.885370,9.89e-05,9.3
35,31.034817,30.923084,93.403032,4.637362,4.598266,44.586500,9.88e-05,9.5
36,5.408215,5.333344,41.739495,3.720077,3.696854,36.146253,9.87e-05,9.3
37,4.255965,4.197896,37.299869,3.422474,3.404007,29.404914,9.87e-05,9.2
38,4.031601,3.980822,31.012069,3.593914,3.580872,34.981171,9.86e-05,9.5
39,3.570988,3.529324,28.331540,3.308320,3.298538,23.948454,9.85e-05,9.5
40,4.478962,4.443369,28.494239,3.117652,3.110982,24.620324,9.84e-05,9.3
41,3.510112,3.479048,26.015638,3.578037,3.572315,23.393723,9.84e-05,9.1
42,3.363218,3.335008,25.626771,6.652446,6.647630,22.908639,9.83e-05,9.1
43,3.636356,3.610504,28.386845,5.116992,5.113048,23.034486,9.82e-05,9.1
44,3.353938,3.328565,23.984055,3.098294,3.094677,22.232337,9.81e-05,9.3
45,3.118338,3.094608,24.685321,2.966190,2.963180,23.177680,9.80e-05,9.4
46,3.211720,3.189544,23.936408,2.976463,2.973497,23.019499,9.79e-05,9.2
47,3.261654,3.239223,23.521316,3.242340,3.239464,21.143395,9.78e-05,9.3
48,3.970692,3.948190,22.999529,2.888502,2.885181,26.835894,9.77e-05,9.4
49,3.299460,3.280030,25.500076,3.033209,3.030917,20.788881,9.76e-05,9.1
50,2.918111,2.897066,21.087546,2.873926,2.871417,20.774746,9.76e-05,9.3
51,2.913049,2.891070,21.282443,2.923777,2.921153,20.723375,9.75e-05,9.7
52,3.012174,2.990543,21.038457,2.715026,2.712346,18.821139,9.74e-05,9.3
53,2.855050,2.831855,19.945083,4.214409,4.210627,19.101612,9.73e-05,9.2
54,3.445531,3.421508,22.172414,2.585704,2.581666,21.329306,9.71e-05,9.6
55,2.829811,2.802125,19.202857,2.569443,2.565913,16.689910,9.70e-05,9.2
56,2.729613,2.700320,18.322207,2.556024,2.552327,16.751077,9.69e-05,9.2
57,3.548816,3.514974,20.897692,2.989617,2.982595,16.396914,9.68e-05,9.4
58,2.710928,2.685013,17.829295,2.745280,2.741662,15.658563,9.67e-05,9.2
59,2.737750,2.708048,17.645520,2.581158,2.576803,13.901838,9.66e-05,9.3
60,2.702126,2.672254,17.632775,2.723504,2.719804,15.514794,9.65e-05,9.2
61,2.751132,2.721649,17.807637,2.573496,2.568931,18.395237,9.64e-05,9.1
62,2.672531,2.647339,17.395926,2.408164,2.404806,12.933385,9.63e-05,9.3
63,2.821755,2.797668,18.806142,2.583891,2.580767,13.178681,9.61e-05,9.2
64,2.798529,2.777903,18.187657,2.526568,2.523356,13.713582,9.60e-05,9.5
65,2.562086,2.546112,16.012197,2.343882,2.341515,14.445100,9.59e-05,9.4
66,2.500497,2.487324,15.871251,2.648666,2.646864,11.547261,9.58e-05,9.3
67,2.410259,2.399038,15.224540,2.326536,2.324990,11.662591,9.56e-05,9.7
68,2.513845,2.504607,15.560333,2.505700,2.504346,12.397966,9.55e-05,9.2
69,2.593053,2.586096,15.879865,2.375483,2.373787,11.644188,9.54e-05,9.3
70,2.444733,2.438705,14.386756,2.617373,2.616593,9.703983,9.52e-05,9.4
71,2.482447,2.477968,14.813360,3.161185,3.160616,9.658559,9.51e-05,9.4
72,2.495204,2.488205,15.828083,2.090514,2.088886,10.275133,9.50e-05,9.3
73,2.377822,2.373013,14.017291,2.213038,2.212296,11.366707,9.48e-05,9.3
74,2.777593,2.771702,15.048183,2.974329,2.973691,14.255120,9.47e-05,9.2
75,2.458735,2.454734,14.421004,1.884360,1.882211,10.144527,9.46e-05,9.2
76,2.175875,2.173065,13.201952,2.010607,2.009907,12.837493,9.44e-05,9.3
77,2.105657,2.102979,12.935668,2.099886,2.099361,11.037809,9.43e-05,9.3
78,2.691232,2.686064,15.108560,3.057969,3.056594,9.894220,9.41e-05,9.6
79,2.412146,2.407066,13.168569,1.856875,1.853920,9.314554,9.40e-05,9.3
80,2.290747,2.287231,12.970998,2.070444,2.069658,9.281121,9.38e-05,9.2
81,2.331462,2.321830,13.788485,2.126768,2.125861,9.374111,9.37e-05,9.2
82,2.187094,2.183140,12.753353,2.209673,2.209235,8.697843,9.35e-05,9.1
83,3.154022,3.150452,14.033266,2.055635,2.054165,7.943374,9.34e-05,9.5
84,2.333061,2.329401,14.182304,2.425473,2.422622,9.316078,9.32e-05,9.3
85,2.264284,2.258666,13.049389,1.939412,1.938379,8.212928,9.30e-05,9.4
86,2.221987,2.217550,12.544153,1.859339,1.856110,8.424035,9.29e-05,9.4
87,2.232557,2.228333,13.025284,1.770669,1.770452,8.678239,9.27e-05,9.3
88,1.999394,1.996560,11.838699,1.681531,1.681260,9.141034,9.25e-05,9.6
89,2.280243,2.276624,12.300831,1.831850,1.831018,8.005938,9.24e-05,9.1
90,2.076663,2.073539,12.213281,1.690455,1.690057,8.022209,9.22e-05,9.3
91,2.279553,2.276193,12.702817,2.908783,2.908313,8.926794,9.20e-05,9.5
92,2.175798,2.165959,12.032514,1.992883,1.990099,8.396590,9.19e-05,9.5
