ft_mode,ft_mode_label,n_finetune,n_label,train_time_s,mae_m,pct_gap_closed
full_decoder,FT full decoder,0,all,314.44,6.8742,86.9
full_decoder,FT full decoder,10,10,20.88,10.8471,19.4
full_decoder,FT full decoder,20,20,40.08,10.5447,24.5
full_decoder,FT full decoder,50,50,38.16,10.0575,32.8
full_decoder,FT full decoder,100,100,125.14,8.7355,55.3
full_decoder,FT full decoder,200,200,201.37,7.5698,75.1
full_decoder,FT full decoder,300,300,269.51,7.1555,82.1
last_layer,FT last layer,0,all,227.13,11.1180,14.8
last_layer,FT last layer,10,10,14.88,11.6021,6.5
last_layer,FT last layer,20,20,16.41,11.7173,4.6
last_layer,FT last layer,50,50,20.75,11.6408,5.9
last_layer,FT last layer,100,100,31.40,10.8590,19.2
last_layer,FT last layer,200,200,132.17,11.1741,13.8
last_layer,FT last layer,300,300,114.34,11.2576,12.4
