model,method,label,theta_0.0_ms,theta_0.1_ms,theta_0.2_ms,theta_0.3_ms,mean_ms
HV baseline,raw,Raw,4.279,4.515,4.226,4.215,4.309
HV baseline,alpha_beta,Alpha-Beta,0.119,0.119,0.117,0.116,0.118
HV baseline,kalman_cv_var,Kal CV (R=σ²),2.579,2.623,2.931,2.610,2.686
HV baseline,ar_raw,AR raw,20.849,21.526,20.216,20.474,20.766
HV baseline,ar_kalman_cv_var,AR+Kal CV (R=σ²),23.491,24.213,22.825,23.081,23.403
FT full decoder,raw,Raw,4.253,4.186,4.302,4.321,4.265
FT full decoder,alpha_beta,Alpha-Beta,0.118,0.115,0.120,0.118,0.118
FT full decoder,kalman_cv_var,Kal CV (R=σ²),2.568,2.542,2.590,2.588,2.572
FT full decoder,ar_raw,AR raw,19.992,19.919,20.303,20.120,20.084
FT full decoder,ar_kalman_cv_var,AR+Kal CV (R=σ²),22.563,22.455,22.902,22.695,22.654
