series,theta,method,mae_m
oracle,0.0,raw,5.8083
oracle,0.0,alpha_beta,5.8776
oracle,0.0,kalman_cv_var,6.8740
oracle,0.0,ar_raw,5.8369
oracle,0.0,ar_kalman_cv_var,5.2581
oracle,0.1,raw,5.8204
oracle,0.1,alpha_beta,5.8417
oracle,0.1,kalman_cv_var,6.4974
oracle,0.1,ar_raw,5.8282
oracle,0.1,ar_kalman_cv_var,5.2559
oracle,0.2,raw,6.1042
oracle,0.2,alpha_beta,6.0387
oracle,0.2,kalman_cv_var,6.7508
oracle,0.2,ar_raw,6.0083
oracle,0.2,ar_kalman_cv_var,5.3434
oracle,0.3,raw,7.0464
oracle,0.3,alpha_beta,6.8446
oracle,0.3,kalman_cv_var,7.1483
oracle,0.3,ar_raw,6.8995
oracle,0.3,ar_kalman_cv_var,5.6731
highvar_baseline,0.0,raw,12.0737
highvar_baseline,0.0,alpha_beta,11.7922
highvar_baseline,0.0,kalman_cv_var,13.6156
highvar_baseline,0.0,ar_raw,11.7421
highvar_baseline,0.0,ar_kalman_cv_var,12.0054
highvar_baseline,0.1,raw,11.5986
highvar_baseline,0.1,alpha_beta,11.3375
highvar_baseline,0.1,kalman_cv_var,13.1860
highvar_baseline,0.1,ar_raw,11.6109
highvar_baseline,0.1,ar_kalman_cv_var,11.7674
highvar_baseline,0.2,raw,12.0463
highvar_baseline,0.2,alpha_beta,11.7892
highvar_baseline,0.2,kalman_cv_var,13.7517
highvar_baseline,0.2,ar_raw,11.6613
highvar_baseline,0.2,ar_kalman_cv_var,11.8358
highvar_baseline,0.3,raw,12.7977
highvar_baseline,0.3,alpha_beta,12.3906
highvar_baseline,0.3,kalman_cv_var,14.1851
highvar_baseline,0.3,ar_raw,12.2264
highvar_baseline,0.3,ar_kalman_cv_var,12.0951
finetuned_decoder,0.0,raw,9.7252
finetuned_decoder,0.0,alpha_beta,9.4966
finetuned_decoder,0.0,kalman_cv_var,9.6697
finetuned_decoder,0.0,ar_raw,8.9586
finetuned_decoder,0.0,ar_kalman_cv_var,7.9568
finetuned_decoder,0.1,raw,9.4642
finetuned_decoder,0.1,alpha_beta,9.2116
finetuned_decoder,0.1,kalman_cv_var,9.3314
finetuned_decoder,0.1,ar_raw,8.8414
finetuned_decoder,0.1,ar_kalman_cv_var,7.7447
finetuned_decoder,0.2,raw,9.7501
finetuned_decoder,0.2,alpha_beta,9.5183
finetuned_decoder,0.2,kalman_cv_var,9.6691
finetuned_decoder,0.2,ar_raw,8.9429
finetuned_decoder,0.2,ar_kalman_cv_var,7.9946
finetuned_decoder,0.3,raw,10.4337
finetuned_decoder,0.3,alpha_beta,10.0820
finetuned_decoder,0.3,kalman_cv_var,10.1184
finetuned_decoder,0.3,ar_raw,9.6955
finetuned_decoder,0.3,ar_kalman_cv_var,8.3049
