series,method,mean_mae_m
finetuned_decoder,alpha_beta,9.8075
finetuned_decoder,ar_kalman_cv_var,9.3213
finetuned_decoder,ar_raw,9.1325
finetuned_decoder,kalman_cv_var,10.8093
finetuned_decoder,raw,10.0860
finetuned_last_layers,alpha_beta,10.3148
finetuned_last_layers,ar_kalman_cv_var,10.0238
finetuned_last_layers,ar_raw,9.5756
finetuned_last_layers,kalman_cv_var,11.5740
finetuned_last_layers,raw,10.6104
highvar_baseline,alpha_beta,11.3863
highvar_baseline,ar_kalman_cv_var,11.2847
highvar_baseline,ar_raw,11.2034
highvar_baseline,kalman_cv_var,13.1056
highvar_baseline,raw,11.7296
oracle,alpha_beta,6.3825
oracle,ar_kalman_cv_var,5.5360
oracle,ar_raw,6.3120
oracle,kalman_cv_var,7.0758
oracle,raw,6.4282
