topology,model_type,lora_target,rank,alpha,alpha_ratio,n_traj,n_traj_used,n_trainable_params,total_time_s,n_epochs,best_val_mae,test_mean_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60
aligned,anp,lora_det_full,4,4.0,1.0,100,100,3494338,106.21,153,18.118716,15.451849,13.924218,8.407078,-27.69,22.04834,18.929914,15.856322,13.221663,11.454197,11.200656,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,4,4.0,1.0,200,200,3494338,126.8,119,18.795341,17.915167,13.924218,8.407078,-72.34,24.489153,21.323179,18.488608,15.691032,14.216535,13.282495,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,4,4.0,1.0,all,420,3494338,181.86,91,18.860778,16.503231,13.924218,8.407078,-46.75,23.159937,20.419747,17.246909,14.449677,12.44287,11.300245,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,4,8.0,2.0,100,100,3494338,102.35,150,18.42174,16.535058,13.924218,8.407078,-47.32,22.45565,19.524949,16.741707,14.159909,13.351513,12.97662,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,4,8.0,2.0,200,200,3494338,112.84,104,18.942167,16.85493,13.924218,8.407078,-53.12,23.829808,20.781601,17.811576,14.637589,12.818048,11.250954,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,4,8.0,2.0,all,420,3494338,102.71,51,18.923498,17.488937,13.924218,8.407078,-64.61,23.571675,20.837499,17.776549,15.599756,13.960769,13.187376,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,8,8.0,1.0,100,100,3568510,34.13,51,18.925305,18.238636,13.924218,8.407078,-78.2,23.419482,21.219442,18.39988,16.153478,15.38588,14.853656,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,8,8.0,1.0,200,200,3568510,84.97,79,18.408068,15.934219,13.924218,8.407078,-36.43,22.600873,19.387875,16.184542,13.64434,12.348163,11.439523,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,8,8.0,1.0,all,420,3568510,168.98,84,18.962251,16.960051,13.924218,8.407078,-55.03,23.401608,20.850217,17.670632,14.57297,13.067612,12.197269,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,8,16.0,2.0,100,100,3568510,34.59,51,19.062501,18.270137,13.924218,8.407078,-78.77,23.439976,21.261149,18.44353,16.19177,15.417693,14.866705,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,8,16.0,2.0,200,200,3568510,85.27,79,18.363253,15.933845,13.924218,8.407078,-36.43,22.475484,19.366552,16.215885,13.678045,12.37566,11.491448,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,8,16.0,2.0,all,420,3568510,103.62,51,19.093314,17.608493,13.924218,8.407078,-66.78,22.322276,20.045055,17.523619,16.095064,15.008302,14.656642,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,16,16.0,1.0,100,100,3716854,92.88,131,18.682922,16.017755,13.924218,8.407078,-37.95,22.419191,19.292441,16.484379,13.594112,12.619184,11.697224,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,16,16.0,1.0,200,200,3716854,94.5,84,18.422163,17.278338,13.924218,8.407078,-60.79,23.943527,20.786575,17.986265,15.078057,13.762463,12.113142,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,16,16.0,1.0,all,420,3716854,167.16,81,18.986684,18.305913,13.924218,8.407078,-79.42,24.93331,22.313441,19.252871,16.030854,14.266087,13.038913,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,16,32.0,2.0,100,100,3716854,92.24,131,18.784541,15.937068,13.924218,8.407078,-36.48,22.287272,19.214054,16.389075,13.471005,12.558366,11.702636,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,16,32.0,2.0,200,200,3716854,94.87,84,18.580722,17.135268,13.924218,8.407078,-58.2,23.493689,20.615308,17.913112,15.045141,13.727414,12.016944,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_full,16,32.0,2.0,all,420,3716854,164.16,81,19.0787,18.510475,13.924218,8.407078,-83.13,25.322029,22.726206,19.582289,16.173148,14.294812,12.964364,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_last,4,4.0,1.0,100,100,3431686,25.16,51,19.032405,17.097171,13.924218,8.407078,-57.51,22.164733,19.906469,17.058099,14.983651,14.262728,14.207345,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_last,4,4.0,1.0,200,200,3431686,174.36,226,17.05411,15.766452,13.924218,8.407078,-33.39,23.163386,19.605632,16.164255,13.289068,11.768975,10.607394,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_last,4,4.0,1.0,all,420,3431686,411.54,299,13.674498,12.647146,13.924218,8.407078,23.15,19.377938,16.089422,13.237441,10.6743,8.728614,7.775162,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
aligned,anp,lora_det_last,4,8.0,2.0,100,100,3431686,25.35,51,19.045525,17.100673,13.924218,8.407078,-57.57,22.169528,19.91237,17.062999,14.987074,14.265309,14.20676,18.099625,15.046998,13.154572,12.075292,12.103992,13.064832,8.986971,8.698249,8.500304,8.035707,7.925744,8.295495
