topology,model_type,lora_target,rank,alpha,alpha_ratio,n_traj,n_traj_used,n_trainable_params,total_time_s,n_epochs,best_val_mae,test_mean_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60
aligned,ranp,lora_anp_base,4,4.0,1.0,100,100,2929938,34.83,51,9.65998,9.164825,8.937852,6.547169,-9.49,9.394069,9.187632,9.206839,9.170888,9.103063,8.926456,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,4,4.0,1.0,200,200,2929938,132.91,114,9.038872,8.311193,8.937852,6.547169,26.21,8.345784,8.233238,8.222004,8.376933,8.306383,8.382818,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,4,4.0,1.0,all,420,2929938,217.65,103,9.31822,8.453386,8.937852,6.547169,20.26,8.540858,8.368137,8.349302,8.335914,8.586649,8.539455,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,4,8.0,2.0,100,100,2929938,133.1,185,9.340222,8.282318,8.937852,6.547169,27.42,8.413899,8.276525,8.143083,8.202305,8.366986,8.291112,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,4,8.0,2.0,200,200,2929938,129.44,114,8.959656,8.29173,8.937852,6.547169,27.03,8.295459,8.208037,8.202046,8.365839,8.304805,8.374195,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,4,8.0,2.0,all,420,2929938,218.63,103,9.288746,8.487477,8.937852,6.547169,18.84,8.465904,8.41128,8.392401,8.381382,8.664384,8.609509,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,8,8.0,1.0,100,100,2983710,36.93,51,9.608297,9.059703,8.937852,6.547169,-5.1,9.510856,9.190433,9.087478,9.011833,8.894291,8.663329,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,8,8.0,1.0,200,200,2983710,133.45,115,9.167815,8.376795,8.937852,6.547169,23.47,8.414078,8.299366,8.275657,8.414249,8.41907,8.438348,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,8,8.0,1.0,all,420,2983710,305.42,145,9.104533,8.04678,8.937852,6.547169,37.27,7.971598,7.873762,8.043588,8.098132,8.13896,8.154643,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,8,16.0,2.0,100,100,2983710,35.75,51,9.604414,9.055988,8.937852,6.547169,-4.94,9.506856,9.186631,9.084092,9.007308,8.890579,8.660464,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,8,16.0,2.0,200,200,2983710,133.64,115,9.17337,8.38392,8.937852,6.547169,23.17,8.410961,8.295333,8.28014,8.420779,8.437245,8.459059,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,8,16.0,2.0,all,420,2983710,368.34,174,9.035342,8.000336,8.937852,6.547169,39.22,7.773886,7.897951,7.932958,8.107604,8.099279,8.190336,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,16,16.0,1.0,100,100,3091254,35.72,51,9.507115,9.09087,8.937852,6.547169,-6.4,9.459165,9.192397,9.129445,9.072829,8.968589,8.722797,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,16,16.0,1.0,200,200,3091254,166.37,143,9.027231,8.433364,8.937852,6.547169,21.1,8.484971,8.340936,8.237958,8.358724,8.609882,8.567712,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,16,16.0,1.0,all,420,3091254,188.36,89,9.321534,8.743102,8.937852,6.547169,8.15,9.062259,8.63563,8.663688,8.632703,8.729351,8.734978,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,16,32.0,2.0,100,100,3091254,31.4,51,9.508143,9.08767,8.937852,6.547169,-6.27,9.455723,9.188858,9.127303,9.069425,8.965294,8.719416,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
aligned,ranp,lora_anp_base,16,32.0,2.0,200,200,3091254,124.26,118,9.043425,8.440401,8.937852,6.547169,20.81,8.510534,8.36427,8.369447,8.446461,8.430502,8.521193,9.255273,8.943606,8.874381,8.895689,8.859187,8.798973,6.64059,6.531141,6.459972,6.579501,6.526771,6.54504
