topology,model_type,lora_target,rank,alpha,alpha_ratio,n_traj,n_traj_used,n_trainable_params,total_time_s,n_epochs,best_val_mae,test_mean_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60
ellipsoidal,anp,lora_det_full,4,4.0,1.0,100,100,3494338,81.96,118,10.455417,10.317674,12.129812,5.706064,28.21,14.133593,12.794492,10.872045,8.782011,7.674936,7.648969,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,4,4.0,1.0,200,200,3494338,108.85,99,10.162291,9.435463,12.129812,5.706064,41.94,12.264559,11.948901,9.957778,8.083432,7.377463,6.980649,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,4,4.0,1.0,all,420,3494338,212.18,108,9.6678,9.18417,12.129812,5.706064,45.86,12.408015,11.771809,10.147003,8.203442,6.612247,5.962502,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,4,8.0,2.0,100,100,3494338,72.44,105,10.696922,10.039633,12.129812,5.706064,32.54,13.298459,12.120527,10.402365,8.572664,7.912786,7.930998,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,4,8.0,2.0,200,200,3494338,76.56,71,10.407336,10.479452,12.129812,5.706064,25.69,13.989976,13.291341,10.946992,8.604991,7.809936,8.233473,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,4,8.0,2.0,all,420,3494338,214.32,108,10.276707,9.57841,12.129812,5.706064,39.72,12.521936,12.028098,10.513663,8.830312,7.313004,6.263446,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,8,8.0,1.0,100,100,3568510,89.08,125,10.14739,10.232961,12.129812,5.706064,29.53,13.344226,12.542742,10.953877,8.866716,7.74978,7.940427,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,8,8.0,1.0,200,200,3568510,104.85,96,9.971028,9.496991,12.129812,5.706064,40.99,12.483651,12.020715,10.255298,8.238054,6.996231,6.987995,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,8,8.0,1.0,all,420,3568510,144.05,71,10.578594,9.812072,12.129812,5.706064,36.08,12.812067,12.145542,10.373744,8.370465,7.131365,8.03925,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,8,16.0,2.0,100,100,3568510,89.97,125,10.350467,10.313101,12.129812,5.706064,28.28,13.539774,12.887197,11.299724,9.093642,7.517977,7.540291,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,8,16.0,2.0,200,200,3568510,95.31,88,10.161393,10.075083,12.129812,5.706064,31.99,13.20504,12.786536,11.092138,8.494797,7.219977,7.65201,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,8,16.0,2.0,all,420,3568510,146.31,71,10.879057,9.877196,12.129812,5.706064,35.07,12.800155,12.391546,10.722761,8.70434,7.089416,7.554957,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,16,16.0,1.0,100,100,3716854,76.56,107,11.156373,10.457384,12.129812,5.706064,26.04,13.539091,13.129583,11.247373,9.259336,7.764137,7.804782,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,16,16.0,1.0,200,200,3716854,104.03,91,10.337889,9.323335,12.129812,5.706064,43.69,11.433634,11.527576,9.795231,8.129859,7.525219,7.528491,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,16,16.0,1.0,all,420,3716854,196.16,97,10.455345,10.027152,12.129812,5.706064,32.73,12.907569,12.328756,11.088595,9.597193,7.748992,6.491806,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
ellipsoidal,anp,lora_det_full,16,32.0,2.0,100,100,3716854,55.01,78,11.332212,10.542046,12.129812,5.706064,24.72,14.120369,13.118108,11.285728,8.671631,7.789986,8.266455,15.016458,13.760562,11.794539,10.818596,10.398146,10.990574,5.639868,5.732667,5.753025,5.859926,5.794454,5.456443
