topology,model_type,lora_target,rank,alpha,alpha_ratio,n_traj,n_traj_used,n_trainable_params,total_time_s,n_epochs,best_val_mae,test_mean_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60
ellipsoidal,ranp,lora_anp_base,4,4.0,1.0,100,100,483858,36.96,53,9.290498,9.222012,10.803767,7.463492,47.35,9.735629,9.59266,8.838299,8.846914,9.122037,9.196532,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,4,4.0,1.0,200,200,483858,66.27,61,9.283652,8.663524,10.803767,7.463492,64.07,9.275293,9.168878,8.465419,8.394386,8.275076,8.40209,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,4,4.0,1.0,all,420,483858,105.44,53,9.23103,9.022096,10.803767,7.463492,53.34,9.660947,9.495963,8.656648,8.672146,8.839585,8.807291,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,4,8.0,2.0,100,100,483858,36.53,53,9.286773,9.217886,10.803767,7.463492,47.48,9.71726,9.581542,8.833175,8.848785,9.125664,9.20089,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,4,8.0,2.0,200,200,483858,67.44,61,9.290518,8.698154,10.803767,7.463492,63.04,9.330506,9.195412,8.493183,8.427608,8.307707,8.434505,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,4,8.0,2.0,all,420,483858,110.48,53,9.225933,9.001865,10.803767,7.463492,53.94,9.646967,9.468067,8.629328,8.652031,8.821042,8.793753,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,8,8.0,1.0,100,100,505374,46.0,65,9.376915,9.01157,10.803767,7.463492,53.65,9.253641,9.56649,8.720851,8.794446,8.849459,8.884534,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,8,8.0,1.0,200,200,505374,58.94,53,9.147238,8.889179,10.803767,7.463492,57.32,9.348638,9.244487,8.485337,8.797487,8.696086,8.763039,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,8,8.0,1.0,all,420,505374,117.05,56,9.366098,8.803217,10.803767,7.463492,59.89,9.031733,9.076671,8.558564,8.561481,8.740385,8.850468,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,8,16.0,2.0,100,100,505374,46.8,65,9.404739,9.015699,10.803767,7.463492,53.53,9.208541,9.524777,8.696292,8.81486,8.902526,8.947196,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,8,16.0,2.0,200,200,505374,60.1,53,9.151479,8.882288,10.803767,7.463492,57.52,9.320382,9.222716,8.472413,8.8013,8.702816,8.774103,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,8,16.0,2.0,all,420,505374,107.16,52,9.405761,9.079663,10.803767,7.463492,51.62,9.477489,9.380707,8.802718,8.854914,8.832763,9.129388,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,16,16.0,1.0,100,100,548406,42.0,59,9.294944,9.1507,10.803767,7.463492,49.49,9.500235,9.598767,8.809072,8.998093,9.004012,8.994018,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,16,16.0,1.0,200,200,548406,61.25,56,9.121131,8.628637,10.803767,7.463492,65.12,9.166028,9.091791,8.412186,8.141831,8.425044,8.53494,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,16,16.0,1.0,all,420,548406,132.08,65,9.231992,8.558245,10.803767,7.463492,67.23,9.14171,9.081897,8.105354,8.229766,8.16656,8.624181,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,16,32.0,2.0,100,100,548406,41.64,59,9.31667,9.147508,10.803767,7.463492,49.58,9.467637,9.551606,8.799633,9.010702,9.027171,9.028301,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,16,32.0,2.0,200,200,548406,61.32,56,9.130013,8.607793,10.803767,7.463492,65.74,9.132871,9.046955,8.403374,8.128862,8.410248,8.524449,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
ellipsoidal,ranp,lora_anp_base,16,32.0,2.0,all,420,548406,132.94,65,9.326482,8.642218,10.803767,7.463492,64.71,9.14796,9.056495,8.113168,8.332207,8.351719,8.851758,11.526746,11.187753,10.221203,10.423958,10.746126,10.716818,7.582563,7.438685,7.449564,7.50082,7.307696,7.501624
