topology,model_type,lora_target,rank,alpha,alpha_ratio,n_traj,n_traj_used,n_trainable_params,total_time_s,n_epochs,best_val_mae,test_mean_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60
random,anp,lora_det_full,4,4.0,1.0,100,100,2357954,76.21,110,10.340173,12.236937,13.57359,7.091518,20.62,16.483432,14.653594,12.599259,10.989105,9.780883,8.915348,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,4,4.0,1.0,200,200,2357954,256.13,240,10.282996,10.270636,13.57359,7.091518,50.96,12.662084,11.146142,9.97619,9.771562,9.537019,8.530821,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,4,4.0,1.0,all,420,2357954,179.16,91,10.677192,11.204381,13.57359,7.091518,36.55,14.301671,12.674112,11.21201,10.049289,9.780869,9.208334,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,4,8.0,2.0,100,100,2357954,75.22,110,10.407376,12.317661,13.57359,7.091518,19.38,16.707429,14.782832,12.668854,10.994237,9.788179,8.964433,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,4,8.0,2.0,200,200,2357954,138.46,124,11.096731,10.577291,13.57359,7.091518,46.22,12.416592,11.253322,10.21955,10.420347,9.778671,9.375263,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,4,8.0,2.0,all,420,2357954,149.86,73,10.912047,10.864988,13.57359,7.091518,41.79,13.507874,11.77954,10.989855,9.759852,9.868051,9.284756,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,8,8.0,1.0,100,100,2422142,133.81,194,10.295368,12.198122,13.57359,7.091518,21.22,16.086191,13.901918,11.992293,11.121946,10.333156,9.753228,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,8,8.0,1.0,200,200,2422142,224.28,209,11.071023,10.976421,13.57359,7.091518,40.07,13.881623,11.522685,10.727464,10.347595,10.152032,9.227125,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,8,8.0,1.0,all,420,2422142,360.86,176,10.232625,10.646649,13.57359,7.091518,45.15,14.211256,11.649731,10.310893,9.939831,9.274579,8.493605,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,8,16.0,2.0,100,100,2422142,130.22,194,10.489285,12.5224,13.57359,7.091518,16.22,16.66221,14.237813,12.312531,11.319739,10.590528,10.011577,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,8,16.0,2.0,200,200,2422142,95.55,90,11.630501,11.999766,13.57359,7.091518,24.28,15.159595,13.429199,11.944927,10.939903,10.153232,10.371741,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,8,16.0,2.0,all,420,2422142,145.64,75,10.922565,11.471073,13.57359,7.091518,32.44,14.334368,12.919222,11.445336,10.625673,10.195103,9.306738,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,16,16.0,1.0,100,100,2550518,72.96,109,10.980349,12.368291,13.57359,7.091518,18.59,15.971759,13.897166,12.378894,11.129269,10.666871,10.165788,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,16,16.0,1.0,200,200,2550518,106.36,101,11.351239,11.807566,13.57359,7.091518,27.24,14.19727,12.727879,11.385432,11.261935,10.678922,10.593954,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,16,16.0,1.0,all,420,2550518,170.06,85,10.713123,11.344222,13.57359,7.091518,34.39,14.257615,12.688941,11.515615,10.332963,9.852784,9.417415,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,16,32.0,2.0,100,100,2550518,88.07,130,11.349184,12.22942,13.57359,7.091518,20.74,16.687981,14.824904,12.42103,11.016732,9.624985,8.800889,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,16,32.0,2.0,200,200,2550518,106.59,101,11.838604,12.2132,13.57359,7.091518,20.99,14.469828,12.863969,11.62027,11.788785,11.324624,11.211724,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_full,16,32.0,2.0,all,420,2550518,168.25,85,11.046674,11.643538,13.57359,7.091518,29.78,14.439708,12.681211,11.701186,10.753805,10.36941,9.915909,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,4,4.0,1.0,100,100,2302982,73.09,146,9.681434,11.106722,13.57359,7.091518,38.06,14.044334,12.795903,11.423387,10.31213,9.261041,8.803535,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,4,4.0,1.0,200,200,2302982,375.53,500,6.460893,8.032143,13.57359,7.091518,85.49,10.833543,9.302322,7.785729,7.336702,6.693513,6.24105,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,4,4.0,1.0,all,420,2302982,674.55,500,5.542974,8.360323,13.57359,7.091518,80.43,12.565717,10.030785,8.237543,7.262478,6.231423,5.833996,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,4,8.0,2.0,100,100,2302982,75.0,146,9.706647,11.085916,13.57359,7.091518,38.38,14.036429,12.784379,11.406857,10.288113,9.227231,8.772484,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,4,8.0,2.0,200,200,2302982,339.9,443,7.036653,8.320405,13.57359,7.091518,81.04,11.010736,9.270897,8.20136,7.855803,6.988753,6.59488,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,4,8.0,2.0,all,420,2302982,479.9,354,6.143957,8.387223,13.57359,7.091518,80.01,12.385754,9.816439,8.146745,7.557584,6.464056,5.952762,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,8,8.0,1.0,100,100,2312198,63.44,130,9.958158,10.603467,13.57359,7.091518,45.82,13.369695,12.057636,10.498047,10.025729,9.083377,8.586315,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,8,8.0,1.0,200,200,2312198,208.5,275,8.094011,8.475079,13.57359,7.091518,78.66,10.893883,9.679981,8.229159,7.899703,7.22349,6.924257,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,8,8.0,1.0,all,420,2312198,426.21,311,6.316579,8.303237,13.57359,7.091518,81.31,11.400699,9.372516,8.016776,7.707103,6.927021,6.395309,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,8,16.0,2.0,100,100,2312198,99.51,200,9.243612,10.479844,13.57359,7.091518,47.73,12.352854,11.234592,10.512665,10.242254,9.57924,8.957458,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,8,16.0,2.0,200,200,2312198,210.46,275,8.255827,8.746457,13.57359,7.091518,74.47,11.334483,9.960448,8.447363,8.134284,7.479893,7.122273,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,8,16.0,2.0,all,420,2312198,449.84,323,6.39373,8.519484,13.57359,7.091518,77.97,12.71971,9.99718,8.380274,7.428386,6.610345,5.981008,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,16,16.0,1.0,100,100,2330630,251.06,500,8.146308,9.697609,13.57359,7.091518,59.8,12.87634,10.705136,9.818708,9.052157,8.134947,7.598365,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,16,16.0,1.0,200,200,2330630,386.98,500,6.70769,8.502171,13.57359,7.091518,78.24,12.335019,10.320032,8.33454,7.460461,6.565621,5.997356,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,16,16.0,1.0,all,420,2330630,311.2,224,6.802014,8.682179,13.57359,7.091518,75.46,11.63281,9.882867,8.476453,8.064708,7.374501,6.661733,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,16,32.0,2.0,100,100,2330630,201.19,401,8.749959,10.658748,13.57359,7.091518,44.97,13.818179,11.868573,10.577777,10.115553,9.135516,8.436889,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,16,32.0,2.0,200,200,2330630,303.04,397,7.262388,8.846503,13.57359,7.091518,72.93,12.508302,10.60829,8.751895,7.849666,7.062709,6.298155,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
random,anp,lora_det_last,16,32.0,2.0,all,420,2330630,465.67,338,6.345607,8.770128,13.57359,7.091518,74.1,12.934555,10.303933,8.51265,7.868098,6.783627,6.217906,16.71824,14.708484,13.449918,12.529263,11.887731,12.1479,7.377889,7.135773,7.072847,7.090747,6.822427,7.049427
