topology,model_type,lora_target,rank,alpha,alpha_ratio,n_traj,n_traj_used,n_trainable_params,total_time_s,n_epochs,best_val_mae,test_mean_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60
random,ranp,lora_anp_base,4,4.0,1.0,100,100,483858,35.48,55,6.606058,9.351805,11.64475,8.905377,83.7,10.325072,9.459865,9.132118,8.849091,8.995187,9.349497,12.013863,11.542274,11.017217,11.302447,11.825245,12.167453,8.821021,8.741268,8.531762,8.848247,9.028052,9.461913
random,ranp,lora_anp_base,4,4.0,1.0,200,200,483858,74.8,71,6.489177,9.085566,11.64475,8.905377,93.42,9.814459,9.256034,8.798628,8.665297,8.825404,9.153572,12.013863,11.542274,11.017217,11.302447,11.825245,12.167453,8.821021,8.741268,8.531762,8.848247,9.028052,9.461913
random,ranp,lora_anp_base,4,4.0,1.0,all,420,483858,209.47,108,6.482638,9.103042,11.64475,8.905377,92.78,9.640903,9.223028,8.932665,8.724942,8.975945,9.120766,12.013863,11.542274,11.017217,11.302447,11.825245,12.167453,8.821021,8.741268,8.531762,8.848247,9.028052,9.461913
random,ranp,lora_anp_base,4,8.0,2.0,100,100,483858,35.16,55,6.603543,9.355722,11.64475,8.905377,83.56,10.330129,9.461954,9.135721,8.853639,9.000664,9.352225,12.013863,11.542274,11.017217,11.302447,11.825245,12.167453,8.821021,8.741268,8.531762,8.848247,9.028052,9.461913
random,ranp,lora_anp_base,4,8.0,2.0,200,200,483858,75.9,71,6.431314,9.066142,11.64475,8.905377,94.13,9.80047,9.236685,8.783795,8.643128,8.805198,9.127578,12.013863,11.542274,11.017217,11.302447,11.825245,12.167453,8.821021,8.741268,8.531762,8.848247,9.028052,9.461913
random,ranp,lora_anp_base,4,8.0,2.0,all,420,483858,143.31,73,6.456891,8.760947,11.64475,8.905377,105.27,9.548517,8.980794,8.442656,8.483481,8.457482,8.652752,12.013863,11.542274,11.017217,11.302447,11.825245,12.167453,8.821021,8.741268,8.531762,8.848247,9.028052,9.461913
random,ranp,lora_anp_base,8,8.0,1.0,100,100,505374,81.48,126,6.464275,9.127603,11.64475,8.905377,91.89,9.591928,9.357275,8.893746,8.804379,8.870037,9.248251,12.013863,11.542274,11.017217,11.302447,11.825245,12.167453,8.821021,8.741268,8.531762,8.848247,9.028052,9.461913
random,ranp,lora_anp_base,8,8.0,1.0,200,200,505374,116.65,112,6.496811,9.127018,11.64475,8.905377,91.91,9.839736,9.325401,8.875084,8.745527,8.915388,9.060971,12.013863,11.542274,11.017217,11.302447,11.825245,12.167453,8.821021,8.741268,8.531762,8.848247,9.028052,9.461913
random,ranp,lora_anp_base,8,8.0,1.0,all,420,505374,186.08,94,6.587205,8.92164,11.64475,8.905377,99.41,9.689957,9.19785,8.766923,8.460095,8.612307,8.802705,12.013863,11.542274,11.017217,11.302447,11.825245,12.167453,8.821021,8.741268,8.531762,8.848247,9.028052,9.461913
random,ranp,lora_anp_base,8,16.0,2.0,100,100,505374,83.02,126,6.431849,9.112933,11.64475,8.905377,92.42,9.653635,9.370738,8.874286,8.772472,8.834834,9.171633,12.013863,11.542274,11.017217,11.302447,11.825245,12.167453,8.821021,8.741268,8.531762,8.848247,9.028052,9.461913
