model,method,label,theta_0.0_ms,theta_0.1_ms,theta_0.2_ms,theta_0.3_ms,mean_ms
HV baseline,raw,Raw,4.736,4.883,5.150,4.822,4.898
HV baseline,alpha_beta,Alpha-Beta,0.119,0.115,0.118,0.114,0.117
HV baseline,kalman_cv_var,Kal CV (R=σ²),2.605,2.580,2.669,2.596,2.612
HV baseline,ar_raw,AR raw,47.789,46.466,46.356,48.595,47.302
HV baseline,ar_kalman_cv_var,AR+Kal CV (R=σ²),50.449,49.161,49.182,51.295,50.022
FT decoder,raw,Raw,5.444,5.526,4.901,5.155,5.256
FT decoder,alpha_beta,Alpha-Beta,0.132,0.132,0.117,0.124,0.126
FT decoder,kalman_cv_var,Kal CV (R=σ²),2.870,2.919,2.600,2.748,2.784
FT decoder,ar_raw,AR raw,49.283,49.940,47.211,50.262,49.174
FT decoder,ar_kalman_cv_var,AR+Kal CV (R=σ²),52.133,52.622,50.055,52.998,51.952
