series,theta,method,mae_m
oracle,0.0,raw,4.4587
oracle,0.0,kalman_rts_var,3.2340
oracle,0.0,ar_kalman_rts_var,3.0092
oracle,0.1,raw,4.4435
oracle,0.1,kalman_rts_var,3.3709
oracle,0.1,ar_kalman_rts_var,3.0540
oracle,0.2,raw,4.5676
oracle,0.2,kalman_rts_var,3.2645
oracle,0.2,ar_kalman_rts_var,3.1228
oracle,0.3,raw,6.2464
oracle,0.3,kalman_rts_var,4.1249
oracle,0.3,ar_kalman_rts_var,3.6868
highvar_baseline,0.0,raw,11.7859
highvar_baseline,0.0,kalman_rts_var,9.8850
highvar_baseline,0.0,ar_kalman_rts_var,8.9093
highvar_baseline,0.1,raw,11.1895
highvar_baseline,0.1,kalman_rts_var,9.1996
highvar_baseline,0.1,ar_kalman_rts_var,8.6799
highvar_baseline,0.2,raw,11.6911
highvar_baseline,0.2,kalman_rts_var,9.8498
highvar_baseline,0.2,ar_kalman_rts_var,8.6961
highvar_baseline,0.3,raw,12.2520
highvar_baseline,0.3,kalman_rts_var,10.1915
highvar_baseline,0.3,ar_kalman_rts_var,8.9925
finetuned_decoder,0.0,raw,9.9325
finetuned_decoder,0.0,kalman_rts_var,7.7801
finetuned_decoder,0.0,ar_kalman_rts_var,6.5889
finetuned_decoder,0.1,raw,9.7706
finetuned_decoder,0.1,kalman_rts_var,7.5421
finetuned_decoder,0.1,ar_kalman_rts_var,6.3726
finetuned_decoder,0.2,raw,9.9786
finetuned_decoder,0.2,kalman_rts_var,7.6021
finetuned_decoder,0.2,ar_kalman_rts_var,6.4257
finetuned_decoder,0.3,raw,10.6621
finetuned_decoder,0.3,kalman_rts_var,8.1013
finetuned_decoder,0.3,ar_kalman_rts_var,6.6173
