series,theta,method,mae_m
oracle,0.0,raw,6.1109
oracle,0.0,alpha_beta,6.1656
oracle,0.0,kalman_cv_var,7.1468
oracle,0.0,ar_raw,6.0349
oracle,0.0,ar_kalman_cv_var,5.4415
oracle,0.1,raw,6.0643
oracle,0.1,alpha_beta,6.0798
oracle,0.1,kalman_cv_var,6.7686
oracle,0.1,ar_raw,6.0285
oracle,0.1,ar_kalman_cv_var,5.4424
oracle,0.2,raw,6.3119
oracle,0.2,alpha_beta,6.2679
oracle,0.2,kalman_cv_var,6.9867
oracle,0.2,ar_raw,6.1928
oracle,0.2,ar_kalman_cv_var,5.5043
oracle,0.3,raw,7.2259
oracle,0.3,alpha_beta,7.0165
oracle,0.3,kalman_cv_var,7.4010
oracle,0.3,ar_raw,6.9917
oracle,0.3,ar_kalman_cv_var,5.7559
highvar_baseline,0.0,raw,11.7859
highvar_baseline,0.0,alpha_beta,11.4748
highvar_baseline,0.0,kalman_cv_var,13.1079
highvar_baseline,0.0,ar_raw,11.1719
highvar_baseline,0.0,ar_kalman_cv_var,11.3722
highvar_baseline,0.1,raw,11.1895
highvar_baseline,0.1,alpha_beta,10.8763
highvar_baseline,0.1,kalman_cv_var,12.6210
highvar_baseline,0.1,ar_raw,11.0040
highvar_baseline,0.1,ar_kalman_cv_var,11.1244
highvar_baseline,0.2,raw,11.6911
highvar_baseline,0.2,alpha_beta,11.3969
highvar_baseline,0.2,kalman_cv_var,13.2124
highvar_baseline,0.2,ar_raw,11.0746
highvar_baseline,0.2,ar_kalman_cv_var,11.1775
highvar_baseline,0.3,raw,12.2520
highvar_baseline,0.3,alpha_beta,11.7973
highvar_baseline,0.3,kalman_cv_var,13.4810
highvar_baseline,0.3,ar_raw,11.5630
highvar_baseline,0.3,ar_kalman_cv_var,11.4646
finetuned_last_layers,0.0,raw,10.2257
finetuned_last_layers,0.0,alpha_beta,9.9462
finetuned_last_layers,0.0,kalman_cv_var,11.3931
finetuned_last_layers,0.0,ar_raw,9.5128
finetuned_last_layers,0.0,ar_kalman_cv_var,10.0337
finetuned_last_layers,0.1,raw,10.2553
finetuned_last_layers,0.1,alpha_beta,10.0085
finetuned_last_layers,0.1,kalman_cv_var,11.0599
finetuned_last_layers,0.1,ar_raw,9.3857
finetuned_last_layers,0.1,ar_kalman_cv_var,9.8647
finetuned_last_layers,0.2,raw,10.8291
finetuned_last_layers,0.2,alpha_beta,10.5250
finetuned_last_layers,0.2,kalman_cv_var,11.8504
finetuned_last_layers,0.2,ar_raw,9.5009
finetuned_last_layers,0.2,ar_kalman_cv_var,10.0166
finetuned_last_layers,0.3,raw,11.1316
finetuned_last_layers,0.3,alpha_beta,10.7793
finetuned_last_layers,0.3,kalman_cv_var,11.9926
finetuned_last_layers,0.3,ar_raw,9.9029
finetuned_last_layers,0.3,ar_kalman_cv_var,10.1804
