topology,model_type,strategy,n_traj,n_seeds,n_traj_used,n_trainable_params,total_time_s_mean,total_time_s_std,n_epochs_mean,n_epochs_std,test_mean_mae,test_std_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,test_mae_ctx70,test_std_ctx10,test_std_ctx20,test_std_ctx30,test_std_ctx40,test_std_ctx50,test_std_ctx60,test_std_ctx70,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,ood_mae_ctx70,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60,oracle_mae_ctx70
aligned,anp,decoder_heads,10,5,10,5766,11.1,0.06,101.0,0.0,14.258989,0.223368,13.730577,8.473718,-10.05,19.137126,16.225465,13.956949,12.72397,12.432832,12.672045,12.664539,0.513626,0.291941,0.163934,0.228849,0.127517,0.098888,0.138819,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_heads,20,5,20,5766,12.01,0.06,101.0,0.0,14.451774,0.30576,13.730577,8.473718,-13.72,19.538125,16.839211,14.278108,12.872752,12.29909,12.608287,12.726849,0.424795,0.345675,0.250228,0.225219,0.259754,0.332575,0.302077,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_heads,50,5,50,5766,16.45,0.63,103.6,2.5,15.593117,0.46894,13.730577,8.473718,-35.43,21.578762,18.631494,15.962403,14.107666,13.152265,12.912863,12.806364,0.589643,0.611909,0.494393,0.526823,0.281486,0.447064,0.33126,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_heads,100,5,100,5766,22.32,0.18,102.2,0.4,15.778393,0.423596,13.730577,8.473718,-38.96,22.150284,18.942565,16.159935,14.330091,13.306862,12.98893,12.570083,0.486578,0.744869,0.606104,0.352169,0.320474,0.222255,0.232722,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_heads,200,5,200,5766,33.96,1.44,102.6,3.0,16.184894,0.43085,13.730577,8.473718,-46.69,22.930082,19.552087,16.629707,14.745323,13.607927,13.069264,12.759866,0.656213,0.59301,0.487703,0.261451,0.322517,0.258607,0.436446,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_heads,300,5,300,5766,68.93,26.75,149.6,57.1,16.452052,0.372827,13.730577,8.473718,-51.77,23.767709,20.287472,17.185931,14.820675,13.61261,13.019419,12.470545,0.537562,0.293569,0.128109,0.215643,0.328789,0.434894,0.671225,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_heads,all,5,420,5766,95.44,38.54,157.6,63.0,16.246806,0.356227,13.730577,8.473718,-47.87,23.395886,19.934451,17.131849,14.677533,13.322966,12.815396,12.449559,0.536862,0.194447,0.3114,0.336292,0.277538,0.498373,0.338678,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_full,10,5,10,3420166,18.84,7.18,149.2,52.3,16.411429,2.400627,13.730577,8.473718,-51.0,20.730458,18.310539,16.177959,14.785712,14.615893,15.04254,15.2169,2.831607,2.839942,2.490356,2.326748,2.279936,2.261641,1.774156,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_full,20,5,20,3420166,16.16,3.56,120.8,23.6,16.665659,1.706568,13.730577,8.473718,-55.83,22.605136,19.962629,17.116038,15.341978,14.215419,13.817358,13.601057,2.427701,2.060455,1.697313,1.406029,1.423885,1.431036,1.499559,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_full,50,5,50,3420166,21.28,4.51,124.0,25.3,16.3886,1.42123,13.730577,8.473718,-50.56,22.186775,19.169698,16.583271,15.193929,14.16127,13.90045,13.524806,1.881052,1.694234,1.478697,1.24142,1.097128,1.311932,1.244149,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_full,100,5,100,3420166,56.96,31.2,240.0,128.9,15.366114,2.426161,13.730577,8.473718,-31.11,22.221037,19.064026,16.08913,13.922952,12.649581,11.84303,11.77304,2.48534,2.073722,2.042557,2.182041,2.549782,2.723177,2.926511,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_full,200,5,200,3420166,130.84,63.66,349.0,169.3,13.283885,1.826834,13.730577,8.473718,8.5,19.726554,16.827408,14.368042,11.925051,10.554053,9.907951,9.678135,2.524674,2.234115,1.833914,1.696466,1.540465,1.364065,1.594137,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
