topology,model_type,strategy,n_traj,n_seeds,n_traj_used,n_trainable_params,total_time_s_mean,total_time_s_std,n_epochs_mean,n_epochs_std,test_mean_mae,test_std_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,test_mae_ctx70,test_std_ctx10,test_std_ctx20,test_std_ctx30,test_std_ctx40,test_std_ctx50,test_std_ctx60,test_std_ctx70,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,ood_mae_ctx70,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60,oracle_mae_ctx70
aligned,ranp,decoder_full,10,5,10,2876166,16.74,2.06,117.6,14.0,9.66747,1.146496,8.874475,6.535418,-33.9,10.019884,9.751462,9.583573,9.630397,9.577173,9.576871,9.53293,1.28186,1.188871,1.133536,1.111211,1.100228,1.130072,1.079694,9.217827,8.765985,8.860614,8.96903,8.901911,8.701631,8.704329,6.632578,6.525848,6.569642,6.569273,6.474674,6.452564,6.523343
aligned,ranp,decoder_full,20,5,20,2876166,30.52,16.23,206.4,114.8,8.896493,0.784711,8.874475,6.535418,-0.94,9.24762,8.935369,8.781624,8.91351,8.777337,8.841659,8.778332,0.810139,0.779485,0.759318,0.803168,0.782902,0.82647,0.731497,9.217827,8.765985,8.860614,8.96903,8.901911,8.701631,8.704329,6.632578,6.525848,6.569642,6.569273,6.474674,6.452564,6.523343
aligned,ranp,decoder_full,50,5,50,2876166,31.37,15.76,158.8,82.8,8.684193,0.956476,8.874475,6.535418,8.13,9.074066,8.69168,8.543804,8.644975,8.589253,8.62368,8.621895,0.923329,0.934994,0.967933,0.937226,0.977136,1.007404,0.94731,9.217827,8.765985,8.860614,8.96903,8.901911,8.701631,8.704329,6.632578,6.525848,6.569642,6.569273,6.474674,6.452564,6.523343
aligned,ranp,decoder_full,100,5,100,2876166,74.19,34.64,283.4,136.3,8.046836,0.860142,8.874475,6.535418,35.38,8.245429,7.990542,7.952425,8.045437,7.991649,8.030529,8.071837,0.866451,0.921437,0.898386,0.810958,0.818055,0.836052,0.869659,9.217827,8.765985,8.860614,8.96903,8.901911,8.701631,8.704329,6.632578,6.525848,6.569642,6.569273,6.474674,6.452564,6.523343
aligned,ranp,decoder_full,200,5,200,2876166,128.35,37.7,316.2,95.0,7.713645,0.486826,8.874475,6.535418,49.63,7.804419,7.598474,7.628746,7.721651,7.744192,7.725612,7.77242,0.519845,0.487523,0.464621,0.447805,0.480506,0.483724,0.523757,9.217827,8.765985,8.860614,8.96903,8.901911,8.701631,8.704329,6.632578,6.525848,6.569642,6.569273,6.474674,6.452564,6.523343
aligned,ranp,decoder_full,300,5,300,2876166,124.71,38.95,223.4,70.3,7.492961,0.310597,8.874475,6.535418,59.06,7.760795,7.493247,7.418108,7.438165,7.399303,7.480472,7.460641,0.220319,0.329998,0.345943,0.281792,0.323758,0.348878,0.323494,9.217827,8.765985,8.860614,8.96903,8.901911,8.701631,8.704329,6.632578,6.525848,6.569642,6.569273,6.474674,6.452564,6.523343
aligned,ranp,decoder_full,all,5,420,2876166,153.33,57.01,208.0,76.8,7.641053,0.809656,8.874475,6.535418,52.73,7.924924,7.600111,7.585869,7.596442,7.550457,7.602162,7.627408,0.948178,0.834581,0.788228,0.749371,0.805948,0.816746,0.724537,9.217827,8.765985,8.860614,8.96903,8.901911,8.701631,8.704329,6.632578,6.525848,6.569642,6.569273,6.474674,6.452564,6.523343
aligned,ranp,decoder_det_last,10,5,10,3389126,16.45,1.5,115.0,9.1,9.580267,1.161756,8.874475,6.535418,-30.17,9.907184,9.6747,9.529358,9.546743,9.471784,9.490913,9.441185,1.195613,1.173802,1.13751,1.157886,1.161438,1.169104,1.136939,9.217827,8.765985,8.860614,8.96903,8.901911,8.701631,8.704329,6.632578,6.525848,6.569642,6.569273,6.474674,6.452564,6.523343
aligned,ranp,decoder_det_last,20,5,20,3389126,26.8,10.27,170.8,68.7,8.803976,0.725862,8.874475,6.535418,3.01,9.076571,8.763211,8.747695,8.729135,8.766829,8.752321,8.792071,0.71071,0.719941,0.7349,0.745039,0.701452,0.743568,0.725424,9.217827,8.765985,8.860614,8.96903,8.901911,8.701631,8.704329,6.632578,6.525848,6.569642,6.569273,6.474674,6.452564,6.523343
aligned,ranp,decoder_det_last,50,5,50,3389126,30.07,7.07,143.8,32.9,8.946859,0.503834,8.874475,6.535418,-3.09,9.260072,8.927146,8.822705,8.960074,8.899552,8.843678,8.914784,0.320385,0.393998,0.49541,0.520143,0.544459,0.624726,0.62772,9.217827,8.765985,8.860614,8.96903,8.901911,8.701631,8.704329,6.632578,6.525848,6.569642,6.569273,6.474674,6.452564,6.523343
