topology,model_type,strategy,n_traj,n_seeds,n_traj_used,n_trainable_params,total_time_s_mean,total_time_s_std,n_epochs_mean,n_epochs_std,test_mean_mae,test_std_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,test_mae_ctx70,test_std_ctx10,test_std_ctx20,test_std_ctx30,test_std_ctx40,test_std_ctx50,test_std_ctx60,test_std_ctx70,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,ood_mae_ctx70,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60,oracle_mae_ctx70
ellipsoidal,anp,decoder_heads,10,5,10,5766,13.06,1.23,110.8,9.2,12.901548,0.66394,11.96113,5.639215,-14.88,15.476032,14.135362,12.525126,11.584839,11.997361,12.633805,11.958309,0.548241,0.545381,0.357038,0.530018,0.759363,0.902189,1.005352,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_heads,20,5,20,5766,17.07,8.6,135.6,66.3,12.671537,0.483697,11.96113,5.639215,-11.24,15.320011,13.823509,12.280972,11.291701,11.722143,12.408149,11.854272,0.421354,0.267775,0.367649,0.26852,0.650037,0.685394,0.725148,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_heads,50,5,50,5766,33.6,23.03,210.0,143.0,12.1245,0.632177,11.96113,5.639215,-2.58,14.952672,13.864403,12.237104,10.761974,10.783978,11.408581,10.86279,0.686012,0.474799,0.44066,0.592555,0.706092,0.754707,0.770413,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_heads,100,5,100,5766,51.66,29.7,239.2,138.2,12.128205,0.487436,11.96113,5.639215,-2.64,15.001462,13.81777,12.258261,10.799491,10.861183,11.453707,10.705562,0.621228,0.296957,0.316511,0.508448,0.467928,0.515778,0.685201,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_heads,200,5,200,5766,67.23,18.19,201.2,55.3,11.771013,0.434168,11.96113,5.639215,3.01,14.399632,13.448337,11.992201,10.479598,10.660204,11.0949,10.322221,0.458732,0.401418,0.216345,0.4377,0.593776,0.496722,0.434486,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_heads,300,5,300,5766,121.52,33.7,265.6,74.0,11.512477,0.294185,11.96113,5.639215,7.1,13.827283,12.908069,11.478648,10.325857,10.378087,11.272893,10.396505,0.379708,0.303617,0.306743,0.211804,0.316863,0.276226,0.264334,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_heads,all,5,420,5766,717.3,1249.49,255.4,49.6,11.21773,0.277787,11.96113,5.639215,11.76,13.311741,12.586328,11.251486,9.967877,10.316351,10.846184,10.244147,0.332805,0.383248,0.326959,0.293055,0.103281,0.241921,0.263241,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_full,10,5,10,3420166,21.11,8.16,172.6,72.6,13.771308,1.137657,11.96113,5.639215,-28.63,16.192934,15.284344,13.934426,12.444382,12.653594,13.382427,12.507048,1.354536,1.484548,1.421498,0.790183,0.948924,1.017408,0.946503,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_full,20,5,20,3420166,22.31,5.97,167.2,43.9,11.972464,1.346456,11.96113,5.639215,-0.18,14.746403,13.597395,11.90935,10.779828,10.821909,11.382803,10.569557,1.157008,0.677734,1.06639,1.207632,1.826703,1.921405,1.568322,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_full,50,5,50,3420166,42.71,8.89,246.0,56.4,10.698568,0.84151,11.96113,5.639215,19.97,13.143909,11.968644,10.693057,9.601982,9.857416,10.300876,9.324091,1.185361,1.203047,1.250021,0.579277,0.545619,0.622289,0.504954,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_full,100,5,100,3420166,58.14,24.47,242.6,101.0,10.260046,0.895496,11.96113,5.639215,26.91,12.983174,11.683554,10.303448,8.905161,9.341325,9.721107,8.882555,0.842895,0.962552,1.071532,0.835371,0.882602,0.871184,0.802337,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_full,200,5,200,3420166,151.79,50.62,409.6,137.7,8.824473,1.410683,11.96113,5.639215,49.62,10.567438,9.557278,8.673866,8.157567,8.493543,8.531776,7.789843,0.90167,0.876441,0.978453,1.24987,1.779422,2.214546,1.87438,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_full,300,5,300,3420166,215.53,55.16,421.4,110.7,7.737908,0.757383,11.96113,5.639215,66.8,9.586173,8.544898,7.494699,6.996649,7.35025,7.30047,6.892219,0.697391,0.692159,0.611146,0.548413,0.823244,0.948587,0.980743,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_full,all,5,420,3420166,253.38,86.47,378.8,132.2,7.650351,0.967231,11.96113,5.639215,68.19,9.498492,8.417451,7.62948,6.893083,7.123321,7.237282,6.753347,1.250473,1.203198,0.927633,0.627564,0.918546,0.845692,0.997512,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_last,10,5,10,3933126,21.17,9.23,170.0,77.9,13.594544,1.438397,11.96113,5.639215,-25.84,15.700787,14.670288,13.36531,12.467678,12.996707,13.525216,12.435822,1.245265,1.516986,1.249154,1.241892,1.461527,1.879543,1.47441,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_last,20,5,20,3933126,27.76,8.91,203.0,66.8,12.218899,1.596409,11.96113,5.639215,-4.08,14.574626,13.236326,11.852154,10.908358,11.388103,12.052142,11.520587,1.091663,1.094454,0.857749,1.379702,2.056773,2.379418,2.315103,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_last,50,5,50,3933126,38.82,15.84,208.2,84.9,10.802639,1.661534,11.96113,5.639215,18.32,13.784893,12.268914,10.353283,9.294842,9.762169,10.306538,9.847833,1.500044,1.306588,1.19535,1.690216,1.906433,2.291184,1.740919,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_last,100,5,100,3933126,95.44,24.61,365.2,94.1,9.080854,1.02681,11.96113,5.639215,45.56,11.285328,9.969009,9.002267,8.222582,8.450502,8.442465,8.193822,1.431666,1.444423,1.240977,0.789211,0.846607,0.64765,0.787138,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
