topology,model_type,strategy,n_traj,n_seeds,n_traj_used,n_trainable_params,total_time_s_mean,total_time_s_std,n_epochs_mean,n_epochs_std,test_mean_mae,test_std_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,test_mae_ctx70,test_std_ctx10,test_std_ctx20,test_std_ctx30,test_std_ctx40,test_std_ctx50,test_std_ctx60,test_std_ctx70,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,ood_mae_ctx70,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60,oracle_mae_ctx70
ellipsoidal,ranp,decoder_full,10,5,10,462342,13.61,1.77,111.6,12.2,9.526626,0.532952,10.90778,7.26934,37.96,10.270031,9.879033,9.111834,9.148228,9.345033,9.411396,9.520826,0.286225,0.450973,0.536305,0.488264,0.64092,0.657716,0.670261,11.622562,11.169291,10.427169,10.699743,10.874839,10.860364,10.700493,7.388564,7.301687,7.226736,7.14081,7.313007,7.164014,7.350561
ellipsoidal,ranp,decoder_full,20,5,20,462342,15.47,1.25,117.0,9.2,8.857187,0.53939,10.90778,7.26934,56.36,9.619112,9.261171,8.600694,8.574608,8.549004,8.598503,8.797221,0.618789,0.478499,0.497156,0.503617,0.561675,0.521123,0.594874,11.622562,11.169291,10.427169,10.699743,10.874839,10.860364,10.700493,7.388564,7.301687,7.226736,7.14081,7.313007,7.164014,7.350561
ellipsoidal,ranp,decoder_full,50,5,50,462342,19.72,0.51,111.6,2.9,9.053267,0.307864,10.90778,7.26934,50.97,9.835746,9.603863,8.894887,8.67783,8.700556,8.778924,8.881063,0.311969,0.4349,0.352786,0.32485,0.270086,0.217251,0.243209,11.622562,11.169291,10.427169,10.699743,10.874839,10.860364,10.700493,7.388564,7.301687,7.226736,7.14081,7.313007,7.164014,7.350561
ellipsoidal,ranp,decoder_full,100,5,100,462342,28.15,2.35,115.0,9.6,8.937492,0.423447,10.90778,7.26934,54.15,9.366046,9.183393,8.612514,8.677525,8.79719,8.904604,9.021173,0.453716,0.470534,0.4894,0.343947,0.330548,0.422151,0.453837,11.622562,11.169291,10.427169,10.699743,10.874839,10.860364,10.700493,7.388564,7.301687,7.226736,7.14081,7.313007,7.164014,7.350561
ellipsoidal,ranp,decoder_full,200,5,200,462342,39.78,0.62,104.4,1.1,9.049143,0.412141,10.90778,7.26934,51.08,9.481538,9.445595,8.799073,8.664009,8.847722,9.024117,9.081943,0.390865,0.338628,0.375264,0.479464,0.438798,0.402103,0.459867,11.622562,11.169291,10.427169,10.699743,10.874839,10.860364,10.700493,7.388564,7.301687,7.226736,7.14081,7.313007,7.164014,7.350561
ellipsoidal,ranp,decoder_full,300,5,300,462342,56.22,2.4,105.8,3.8,8.651578,0.329271,10.90778,7.26934,62.01,9.11485,9.017286,8.402267,8.292742,8.434533,8.588125,8.71124,0.300641,0.414502,0.375932,0.304523,0.335114,0.268302,0.305884,11.622562,11.169291,10.427169,10.699743,10.874839,10.860364,10.700493,7.388564,7.301687,7.226736,7.14081,7.313007,7.164014,7.350561
ellipsoidal,ranp,decoder_full,all,5,420,462342,72.64,2.94,104.2,4.0,8.75285,0.479318,10.90778,7.26934,59.23,9.32147,9.099812,8.492606,8.466207,8.50213,8.663437,8.724292,0.277944,0.343415,0.435539,0.496558,0.599975,0.563232,0.638567,11.622562,11.169291,10.427169,10.699743,10.874839,10.860364,10.700493,7.388564,7.301687,7.226736,7.14081,7.313007,7.164014,7.350561
ellipsoidal,ranp,decoder_det_last,10,5,10,544646,13.5,0.7,108.6,5.7,9.574852,0.631623,10.90778,7.26934,36.63,10.187682,9.903075,9.113378,9.216876,9.385038,9.559387,9.65853,0.271133,0.590064,0.632976,0.636238,0.707171,0.793142,0.79064,11.622562,11.169291,10.427169,10.699743,10.874839,10.860364,10.700493,7.388564,7.301687,7.226736,7.14081,7.313007,7.164014,7.350561
ellipsoidal,ranp,decoder_det_last,20,5,20,544646,15.65,0.97,112.8,6.2,8.890464,0.62782,10.90778,7.26934,55.44,9.404737,9.203512,8.581979,8.623154,8.71033,8.779178,8.930358,0.697783,0.735768,0.615572,0.545394,0.641504,0.577323,0.581399,11.622562,11.169291,10.427169,10.699743,10.874839,10.860364,10.700493,7.388564,7.301687,7.226736,7.14081,7.313007,7.164014,7.350561
ellipsoidal,ranp,decoder_det_last,50,5,50,544646,19.59,0.62,103.8,2.5,9.029564,0.525351,10.90778,7.26934,51.62,9.643046,9.369378,8.65906,8.754063,8.82148,8.895994,9.063929,0.637252,0.545877,0.53835,0.472133,0.481885,0.578896,0.423063,11.622562,11.169291,10.427169,10.699743,10.874839,10.860364,10.700493,7.388564,7.301687,7.226736,7.14081,7.313007,7.164014,7.350561
