topology,model_type,strategy,n_traj,n_seeds,n_traj_used,n_trainable_params,total_time_s_mean,total_time_s_std,n_epochs_mean,n_epochs_std,test_mean_mae,test_std_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,test_mae_ctx70,test_std_ctx10,test_std_ctx20,test_std_ctx30,test_std_ctx40,test_std_ctx50,test_std_ctx60,test_std_ctx70,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,ood_mae_ctx70,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60,oracle_mae_ctx70
random,anp,decoder_heads,10,5,10,4614,12.94,4.06,118.6,34.0,13.566339,0.521776,13.259236,7.057199,-4.95,17.359429,15.151407,13.591637,12.800414,12.204817,11.897805,11.958862,0.452214,0.455405,0.363766,0.448676,0.658293,0.589923,0.684154,16.716522,14.745745,13.329226,12.511322,11.737552,11.711141,12.063145,7.219721,6.964443,7.141565,6.955784,7.11885,6.752087,7.247943
random,anp,decoder_heads,20,5,20,4614,24.52,15.94,202.6,128.1,13.475315,0.453148,13.259236,7.057199,-3.48,17.74301,15.480524,13.6319,12.674584,11.911535,11.433533,11.452121,0.366055,0.512503,0.291477,0.31624,0.476153,0.638531,0.571074,16.716522,14.745745,13.329226,12.511322,11.737552,11.711141,12.063145,7.219721,6.964443,7.141565,6.955784,7.11885,6.752087,7.247943
random,anp,decoder_heads,50,5,50,4614,29.38,4.7,184.4,29.6,13.547666,0.291073,13.259236,7.057199,-4.65,17.705607,15.574576,13.956191,12.815909,11.867435,11.552747,11.3612,0.392047,0.407878,0.220697,0.248141,0.263235,0.186003,0.319513,16.716522,14.745745,13.329226,12.511322,11.737552,11.711141,12.063145,7.219721,6.964443,7.141565,6.955784,7.11885,6.752087,7.247943
random,anp,decoder_heads,100,5,100,4614,61.93,21.34,286.2,99.9,13.706529,0.384959,13.259236,7.057199,-7.21,17.809766,16.155695,14.190478,12.97783,11.996203,11.629372,11.186359,0.636804,0.628571,0.427677,0.381579,0.260348,0.195685,0.164052,16.716522,14.745745,13.329226,12.511322,11.737552,11.711141,12.063145,7.219721,6.964443,7.141565,6.955784,7.11885,6.752087,7.247943
random,anp,decoder_heads,200,5,200,4614,81.3,12.31,244.8,36.5,13.972727,0.267056,13.259236,7.057199,-11.5,18.127904,16.31597,14.329016,13.26687,12.348581,11.855302,11.565444,0.288352,0.143016,0.325956,0.276969,0.271602,0.262288,0.30121,16.716522,14.745745,13.329226,12.511322,11.737552,11.711141,12.063145,7.219721,6.964443,7.141565,6.955784,7.11885,6.752087,7.247943
random,anp,decoder_heads,300,5,300,4614,78.32,8.66,172.2,19.8,13.701342,0.267903,13.259236,7.057199,-7.13,17.87057,16.070393,14.087758,12.867944,12.093411,11.543503,11.375815,0.381018,0.389733,0.337049,0.287207,0.178606,0.122834,0.178871,16.716522,14.745745,13.329226,12.511322,11.737552,11.711141,12.063145,7.219721,6.964443,7.141565,6.955784,7.11885,6.752087,7.247943
random,anp,decoder_heads,all,5,420,4614,114.53,26.47,192.6,45.2,13.888351,0.440932,13.259236,7.057199,-10.14,18.545321,16.417831,14.610118,13.028699,12.072896,11.407954,11.135641,0.393597,0.586245,0.369919,0.344586,0.45935,0.507352,0.425472,16.716522,14.745745,13.329226,12.511322,11.737552,11.711141,12.063145,7.219721,6.964443,7.141565,6.955784,7.11885,6.752087,7.247943
random,anp,decoder_full,10,5,10,2293766,18.11,7.23,153.6,61.1,13.919071,1.176259,13.259236,7.057199,-10.64,17.840939,15.68666,14.216142,13.303452,12.341911,11.962856,12.081534,1.521916,1.225933,1.089713,0.940575,1.074926,1.191517,1.189231,16.716522,14.745745,13.329226,12.511322,11.737552,11.711141,12.063145,7.219721,6.964443,7.141565,6.955784,7.11885,6.752087,7.247943
random,anp,decoder_full,20,5,20,2293766,18.46,5.26,145.6,42.1,12.486891,1.197993,13.259236,7.057199,12.45,16.544586,14.780426,12.674723,11.774643,10.93591,10.342287,10.35566,1.78544,1.514352,1.326781,1.26404,1.081886,0.741012,0.672441,16.716522,14.745745,13.329226,12.511322,11.737552,11.711141,12.063145,7.219721,6.964443,7.141565,6.955784,7.11885,6.752087,7.247943
random,anp,decoder_full,50,5,50,2293766,56.59,30.78,337.2,186.2,11.149971,0.931727,13.259236,7.057199,34.01,14.683438,12.985576,11.631894,10.613856,9.884459,9.230964,9.01961,1.242425,1.007439,0.767774,0.905131,0.585889,0.92818,1.085255,16.716522,14.745745,13.329226,12.511322,11.737552,11.711141,12.063145,7.219721,6.964443,7.141565,6.955784,7.11885,6.752087,7.247943
