topology,model_type,strategy,n_traj,n_seeds,n_traj_used,n_trainable_params,total_time_s_mean,total_time_s_std,n_epochs_mean,n_epochs_std,test_mean_mae,test_std_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,test_mae_ctx70,test_std_ctx10,test_std_ctx20,test_std_ctx30,test_std_ctx40,test_std_ctx50,test_std_ctx60,test_std_ctx70,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,ood_mae_ctx70,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60,oracle_mae_ctx70
random,ranp,decoder_full,10,5,10,462342,17.74,4.36,145.4,35.8,10.724116,0.956142,11.768034,7.648733,25.34,11.263862,10.86098,10.349273,10.233971,10.503199,10.75716,11.100369,0.774141,0.900704,1.033939,0.978597,1.035448,0.998451,0.97171,12.13553,11.424616,11.18376,11.339706,11.740775,12.178193,12.373658,7.767941,7.623427,7.701715,7.581562,7.481598,7.609107,7.77578
random,ranp,decoder_full,20,5,20,462342,14.64,1.02,110.4,7.7,9.768742,0.410345,11.768034,7.648733,48.53,10.389635,9.749484,9.303359,9.184809,9.55179,9.926544,10.275573,0.494921,0.501464,0.447242,0.401042,0.378129,0.354604,0.295017,12.13553,11.424616,11.18376,11.339706,11.740775,12.178193,12.373658,7.767941,7.623427,7.701715,7.581562,7.481598,7.609107,7.77578
random,ranp,decoder_full,50,5,50,462342,24.24,3.25,136.4,18.0,9.482461,0.446081,11.768034,7.648733,55.48,9.988529,9.467375,9.171964,9.159054,9.214654,9.542732,9.832918,0.288757,0.407716,0.433603,0.500074,0.510809,0.505654,0.47595,12.13553,11.424616,11.18376,11.339706,11.740775,12.178193,12.373658,7.767941,7.623427,7.701715,7.581562,7.481598,7.609107,7.77578
random,ranp,decoder_full,100,5,100,462342,31.15,3.82,127.0,15.0,9.389749,0.305918,11.768034,7.648733,57.74,9.936345,9.527897,9.143592,9.030882,9.149383,9.308172,9.63197,0.399311,0.379586,0.238187,0.249607,0.215004,0.292219,0.36751,12.13553,11.424616,11.18376,11.339706,11.740775,12.178193,12.373658,7.767941,7.623427,7.701715,7.581562,7.481598,7.609107,7.77578
random,ranp,decoder_full,200,5,200,462342,48.43,5.91,126.6,15.4,9.536695,0.323179,11.768034,7.648733,54.17,9.951735,9.542302,9.244957,9.173909,9.406228,9.57893,9.858804,0.194027,0.224849,0.271427,0.37388,0.402449,0.371351,0.424268,12.13553,11.424616,11.18376,11.339706,11.740775,12.178193,12.373658,7.767941,7.623427,7.701715,7.581562,7.481598,7.609107,7.77578
random,ranp,decoder_full,300,5,300,462342,63.24,6.32,119.2,11.6,9.422551,0.404625,11.768034,7.648733,56.94,9.896515,9.497602,9.114186,9.047083,9.171674,9.470352,9.760443,0.36534,0.330047,0.301561,0.438888,0.443995,0.512588,0.439956,12.13553,11.424616,11.18376,11.339706,11.740775,12.178193,12.373658,7.767941,7.623427,7.701715,7.581562,7.481598,7.609107,7.77578
random,ranp,decoder_full,all,5,420,462342,76.94,5.15,109.6,7.4,9.319833,0.389146,11.768034,7.648733,59.43,9.775836,9.353734,9.003068,8.914982,9.107041,9.346979,9.737193,0.310307,0.277427,0.340462,0.414083,0.511291,0.456044,0.414411,12.13553,11.424616,11.18376,11.339706,11.740775,12.178193,12.373658,7.767941,7.623427,7.701715,7.581562,7.481598,7.609107,7.77578
random,ranp,decoder_det_last,10,5,10,544646,14.99,1.42,117.4,9.5,10.433898,0.795785,11.768034,7.648733,32.39,11.14797,10.737647,10.177265,9.936443,10.098041,10.314261,10.625655,0.769015,0.720797,0.852408,0.872293,0.819487,0.794553,0.741943,12.13553,11.424616,11.18376,11.339706,11.740775,12.178193,12.373658,7.767941,7.623427,7.701715,7.581562,7.481598,7.609107,7.77578
random,ranp,decoder_det_last,20,5,20,544646,17.08,3.73,123.6,26.9,9.944617,0.763174,11.768034,7.648733,44.27,10.426101,9.874485,9.540994,9.437052,9.752251,10.132994,10.44844,0.729883,0.812511,0.806912,0.80619,0.771212,0.733321,0.682192,12.13553,11.424616,11.18376,11.339706,11.740775,12.178193,12.373658,7.767941,7.623427,7.701715,7.581562,7.481598,7.609107,7.77578
random,ranp,decoder_det_last,50,5,50,544646,23.67,1.46,123.2,7.4,9.581121,0.552236,11.768034,7.648733,53.09,10.273184,9.772968,9.338556,9.150815,9.264869,9.468301,9.799155,0.495283,0.381595,0.520941,0.600582,0.606066,0.646947,0.614237,12.13553,11.424616,11.18376,11.339706,11.740775,12.178193,12.373658,7.767941,7.623427,7.701715,7.581562,7.481598,7.609107,7.77578
