sensor,anp_basic_mae,ranp_basic_mae,anp_masked_mae,ranp_masked_mae
0,135.38432121276855,176.94380569458008,59.9963903427124,50.66384935379028
1,115.62042236328125,208.75351524353027,63.61510419845581,39.823145627975464
2,135.20091915130615,200.09767723083496,63.806772232055664,51.38587760925293
3,135.91886138916016,212.06926155090332,66.29387092590332,66.86434268951416
4,102.63465309143066,218.88328742980957,69.76843881607056,117.60881900787354
5,138.38745594024658,235.05175399780273,76.48190402984619,145.4508228302002
6,105.88965511322021,184.5868148803711,69.43258428573608,102.5130262374878
7,113.71294975280762,172.74928665161133,66.31283140182495,50.59200859069824
8,91.2668867111206,143.42125797271729,56.70280170440674,30.49602174758911
9,108.46380233764648,190.92194175720215,56.42120170593262,40.00576734542847
