k_removed,anp_basic_mae,ranp_basic_mae,anp_masked_mae,ranp_masked_mae
0,12.452784419059753,7.701650559902191,15.941447973251343,6.713785946369171
1,30.567726612091064,18.624043703079224,15.543816447257996,6.859627544879913
2,36.4240403175354,33.83954048156738,17.305558919906616,7.323108017444611
3,53.394169330596924,49.53459310531616,17.268433213233948,8.224289953708649
4,58.02341985702515,67.21979188919067,19.533162593841553,9.055966019630432
5,89.1263313293457,94.82109069824219,23.452858686447144,9.882387340068817
6,83.66702270507812,112.63967704772949,26.25537347793579,11.766977190971375
7,91.65292930603027,156.36935234069824,35.59818768501282,14.268324851989746
8,114.73351764678955,148.4589138031006,36.950769901275635,17.304291129112244
9,135.73489952087402,177.1552963256836,59.836156368255615,50.38731288909912
