k_removed,anp_basic_mae,ranp_basic_mae,anp_masked_mae,ranp_masked_mae
0,12.50719040632248,7.7386462688446045,15.660346150398254,6.71955418586731
1,26.289913654327393,16.684184432029724,15.859035968780518,6.784867763519287
2,37.28769040107727,35.5980327129364,18.556453347206116,9.69851529598236
3,43.920494079589844,55.748250246047974,25.334748029708862,12.302042484283447
4,50.18326663970947,81.31420421600342,32.517329692840576,12.981751441955566
5,62.69605779647827,105.46569728851318,39.15657901763916,16.50786864757538
6,69.44197702407837,109.72172164916992,42.29344415664673,24.710312843322754
7,61.92719507217407,109.22092056274414,45.12943506240845,30.0622341632843
8,78.76650762557983,123.58152961730957,45.229788303375244,33.803974866867065
9,109.11572456359863,190.9139862060547,54.81847953796387,39.98353385925293
