k_removed,anp_basic_mae,ranp_basic_mae,anp_masked_mae,ranp_masked_mae
0,12.375403225421906,7.898141324520111,15.970465779304504,6.674811542034149
1,34.34237360954285,19.887388825416565,17.212595343589783,7.135790944099426
2,44.28091073036194,41.42562747001648,24.03935432434082,10.39797294139862
3,58.05302953720093,58.47048330307007,28.561612606048584,13.338118731975555
4,77.3365888595581,85.05912494659424,33.238558292388916,16.880520343780518
5,83.23936176300049,115.21599006652832,36.715850591659546,17.792619943618774
6,91.83850955963135,157.01843929290771,42.763925075531006,19.893786668777466
7,114.14931964874268,170.5706558227539,49.533016204833984,22.996737003326416
8,114.64822483062744,185.94721794128418,52.08335065841675,33.112998962402344
9,135.76481437683105,177.3513240814209,59.46704149246216,50.46777844429016
