sensor,anp_basic_mae,ranp_basic_mae,anp_masked_mae,ranp_masked_mae
0,117.63829803466797,156.82740783691406,62.91384744644165,109.35894823074341
1,124.81304264068604,158.88402366638184,75.884512424469,53.371286392211914
2,119.32507419586182,139.39679527282715,83.72471714019775,126.12284755706787
3,107.16833209991455,145.77875137329102,76.60103511810303,127.59681224822998
4,107.04492664337158,154.41718673706055,59.922722816467285,78.17948198318481
5,100.5065689086914,140.7773952484131,51.220399379730225,69.35122203826904
6,111.63347244262695,132.23079109191895,64.53190422058105,103.8891134262085
7,127.38677978515625,153.74727821350098,74.41025876998901,175.29452228546143
8,110.3746337890625,132.91145038604736,78.176016330719,156.63589763641357
9,114.34547996520996,151.42990684509277,84.34387397766113,77.51831245422363
