sensor,anp_basic_mae,anp_basic_delta_mae,ranp_basic_mae,ranp_basic_delta_mae,anp_masked_mae,anp_masked_delta_mae,ranp_masked_mae,ranp_masked_delta_mae
0,16.443100929260254,9.279424130916595,9.534211277961731,4.1646188497543335,6.074002802371979,0.5206821262836456,7.668418884277344,-0.09660965204238892
1,28.03057360649109,20.86689680814743,8.460380852222443,3.090788424015045,6.0590430200099945,0.5057223439216614,7.823315858840942,0.05828732252120972
2,30.104305267333984,22.940628468990326,16.5247163772583,11.155123949050903,6.287183791399002,0.733863115310669,7.4271416664123535,-0.33788686990737915
3,16.46769106388092,9.304014265537262,16.26578974723816,10.896197319030762,5.898053377866745,0.34473270177841187,7.7633116245269775,-0.001716911792755127
4,22.882238268852234,15.718561470508575,17.157658219337463,11.788065791130066,6.150228023529053,0.5969073474407196,6.423462867736816,-1.3415656685829163
5,18.735031008720398,11.57135421037674,10.336672186851501,4.967079758644104,6.848261892795563,1.2949412167072296,7.755028784275055,-0.009999752044677734
6,21.109158754348755,13.945481956005096,9.924907982349396,4.555315554141998,6.469366014003754,0.9160453379154205,9.10452526807785,1.3394967317581177
7,18.188225746154785,11.024548947811127,11.329493165016174,5.959900736808777,6.357298791408539,0.8039781153202057,7.1312074065208435,-0.6338211297988892
8,18.11413288116455,10.950456082820892,47.86391818523407,42.49432575702667,6.634795129299164,1.0814744532108307,7.915633857250214,0.15060532093048096
9,15.862823009490967,8.699146211147308,13.590232968330383,8.220640540122986,8.069370537996292,2.516049861907959,8.47780579328537,0.7127772569656372
