k_removed,anp_basic_mae_mean,anp_basic_mae_worst,ranp_basic_mae_mean,ranp_basic_mae_worst,anp_masked_mae_mean,anp_masked_mae_worst,ranp_masked_mae_mean,ranp_masked_mae_worst
0,7.274813377857209,7.365331292152405,5.34885259270668,5.404678255319595,5.535900428891182,5.599719732999802,7.816871535778046,7.881091594696045
1,20.625258672237397,29.901294231414795,16.11185313463211,47.98662781715393,6.457599723339081,7.874278157949448,7.794328099489212,9.232439637184143
2,36.36715017557144,53.25844192504883,35.272116696834566,60.95687985420227,8.45844661295414,9.950494468212128,8.126325988769532,9.230153024196625
3,51.29197504520416,73.8411283493042,50.40841112136841,74.05285930633545,11.920683693885803,15.562204360961914,9.445303785800935,12.116676211357117
4,67.0516562461853,85.04665470123291,70.94786920547486,90.69147491455078,17.84639674425125,22.368385434150696,12.049623280763626,17.97145175933838
5,81.69875116348267,107.16011905670166,89.37876305580139,108.77082252502441,24.962660992145537,32.09986996650696,17.908085358142852,33.834900975227356
6,94.83165817260742,118.15142631530762,105.1816439151764,125.72357082366943,33.06691353321075,42.123228311538696,24.58243684768677,40.8077677488327
7,106.32345581054688,121.5175895690918,119.91870012283326,139.5837526321411,43.063589859008786,51.539544343948364,36.72820580005646,55.553109645843506
8,112.62531518936157,127.50197410583496,129.82220706939697,154.54214096069336,56.5598123550415,66.89877605438232,67.94865869283676,131.89464473724365
9,113.97839975357056,126.9615125656128,146.59657649993898,158.95035362243652,71.30539469718933,84.27354526519775,107.74925594329834,175.08094120025635
10,nan,nan,nan,nan,nan,nan,nan,nan
