sensor,anp_basic_mae,ranp_basic_mae,anp_masked_mae,ranp_masked_mae
0,144.68086433410645,143.3336763381958,67.67162418365479,66.06911420822144
1,128.22012615203857,151.4003143310547,76.95194149017334,101.9680290222168
2,117.08405208587646,137.8985595703125,83.65794086456299,66.37072372436523
3,135.97798252105713,147.95647716522217,84.50602912902832,67.80583429336548
4,145.73962306976318,165.54608345031738,80.32985591888428,117.5570125579834
5,148.08066654205322,163.72177696228027,68.3112154006958,101.5728702545166
6,137.72658920288086,149.22267532348633,88.46070671081543,72.09799671173096
7,133.88247776031494,142.28741073608398,82.05700874328613,72.48489093780518
8,161.90365600585938,147.2654447555542,83.33914756774902,103.08134365081787
9,118.98421287536621,143.15763664245605,64.99028158187866,46.63946557044983
