k_removed,anp_basic_mae,ranp_basic_mae,anp_masked_mae,ranp_masked_mae
0,12.022753179073334,9.10982084274292,9.440929591655731,10.52275288105011
1,25.461535692214966,26.082822561264038,12.824705362319946,11.254618644714355
2,40.71889567375183,34.25776743888855,15.135761857032776,10.736164450645447
3,55.46197319030762,55.39875316619873,19.50268268585205,10.397361099720001
4,66.39464807510376,71.40937662124634,24.076627731323242,11.264304995536804
5,94.85719299316406,76.9258508682251,22.838274002075195,12.119330048561096
6,95.49310302734375,92.11022901535034,27.42108416557312,14.836166620254517
7,91.38586711883545,116.90080451965332,46.385987758636475,22.91662859916687
8,119.38099384307861,145.8818759918213,60.705105781555176,31.999351501464844
9,148.3737335205078,163.71905899047852,69.00307750701904,101.51047801971436
