sensor,anp_basic_mae,anp_basic_mae_std,anp_basic_delta_mae,anp_basic_delta_mae_std,ranp_basic_mae,ranp_basic_mae_std,ranp_basic_delta_mae,ranp_basic_delta_mae_std,anp_masked_mae,anp_masked_mae_std,anp_masked_delta_mae,anp_masked_delta_mae_std,ranp_masked_mae,ranp_masked_mae_std,ranp_masked_delta_mae,ranp_masked_delta_mae_std
0,30.22441782951355,0.27924991869719024,22.193439257144927,0.2949536778764384,19.73861954212189,0.18482287926611646,11.122001135349276,0.20704550322664475,8.304992163181305,0.06580087993416872,-0.17078464031219376,0.15894244472985777,6.8601988554000854,0.03752234930644259,0.3504339575767519,0.06612180263674199
1,21.404175138473512,0.17189298604988143,13.373196566104891,0.19637808852719582,18.820449113845825,0.3716571996077664,10.203830707073212,0.3831937078377517,8.946434414386749,0.11840907828561681,0.47065761089324987,0.18695896543638213,7.381601774692536,0.0422329769342759,0.8718368768692022,0.06890421196986905
2,22.81211910247803,0.18818542086571122,14.781140530109408,0.2107864028509792,26.34821147918701,0.3526791607398035,17.731593072414398,0.36481630189218417,9.129900026321412,0.12710308799985212,0.6541232228279128,0.19258281313681955,7.207594108581543,0.03025834018092744,0.6978292107582096,0.06228750466154744
3,15.248450803756715,0.12536614280843755,7.2174722313880935,0.15726991054590192,28.72822504043579,0.12135747489144441,20.11160663366318,0.15308814591007583,8.938618326187134,0.08656766190490049,0.4628415226936351,0.16860280253979815,6.793990218639374,0.057479591640463124,0.28422532081604057,0.07917114083813599
4,27.872255992889404,0.11325470741167491,19.841277420520782,0.14779642672052165,20.575418043136597,0.1592305451724965,11.958799636363985,0.18456085777349313,8.516891574859619,0.19452223396364646,0.04111477136611974,0.24242905032772089,6.749057340621948,0.030708846067267703,0.2392924427986145,0.06250759404456957
5,26.62499933242798,0.27731934057726393,18.594020760059358,0.29312654546911804,20.350652313232423,0.11272057086427094,11.73403390645981,0.1463361568516962,9.128900277614594,0.12077216540963195,0.6531234741210952,0.18846448173150426,6.887103307247162,0.05309195051471586,0.3773384094238281,0.07604552120877735
6,25.26501965522766,0.1487136433304283,17.23404108285904,0.17644518330932207,17.017245388031007,0.13301170748323993,8.400626981258394,0.16248217758807915,9.12866381406784,0.14710657293121698,0.6528870105743412,0.20633295601081392,6.906691706180572,0.07814469192630295,0.3969268083572386,0.0952405321421209
7,23.01103072166443,0.12915455428293238,14.980052149295808,0.160306125561294,15.916732788085938,0.20521546406665148,7.300114381313325,0.22543675476338865,8.230014729499818,0.12450392375822306,-0.24576207399368144,0.19087737416411202,6.69286140203476,0.028902075528743233,0.18309650421142631,0.06164005237122001
8,22.4830680847168,0.2560996551077017,14.452089512348177,0.2731376728807914,20.788564586639403,0.14376810803043885,12.17194617986679,0.17139898655712363,8.960698831081391,0.1584522203359887,0.48492202758789205,0.21456945510952327,5.799819564819336,0.0631207957113323,-0.709945333003998,0.08335706891253623
9,34.51724209785461,0.224932861630319,26.48626352548599,0.24415557999286985,17.230045914649963,0.1921762972359832,8.61342750787735,0.21363537376916322,9.7628058552742,0.12305333067526447,1.287029051780701,0.18993437584299738,6.849867224693298,0.04403391028493982,0.3401023268699648,0.07002250596372352
