sensor,anp_basic_mae,anp_basic_mae_std,ranp_basic_mae,ranp_basic_mae_std,anp_masked_mae,anp_masked_mae_std,ranp_masked_mae,ranp_masked_mae_std
0,118.54978275299072,0.08853353046541225,143.01562480926515,0.11405932024307469,30.861193704605103,0.10178948104836111,46.04120969772339,0.10302561057633162
1,106.69044456481933,0.17549104466703586,149.9975679397583,0.055392718053112716,29.89181423187256,0.13822556174614012,68.63000659942627,0.16771801597898606
2,99.37154903411866,0.17084155377236313,137.15150718688966,0.14595738711685255,30.687090396881104,0.26756600955427146,45.41348576545715,0.20355338902010492
3,114.7777925491333,0.2801023527758435,145.98391590118408,0.113494062460238,38.49319634437561,0.4235123383688412,55.21845941543579,0.13538788082891512
4,104.85737838745118,0.20601046779275567,165.41789512634278,0.13946423065749206,31.59505181312561,0.28746379061048044,95.1065517425537,0.20702334029988997
5,130.68443565368653,0.11065996654467807,164.2484992980957,0.15284059737044178,34.12509188652039,0.3921318416906062,66.94664058685302,0.18034738452975677
6,126.66440811157227,0.13839461014699658,148.54528579711913,0.13481304607915465,31.823705530166627,0.15644865533163313,45.77766494750976,0.16895420127807265
7,113.96960849761963,0.05648332193529832,143.73585624694823,0.19996753729288813,34.37746639251709,0.43000945797597634,51.13116354942322,0.08664570619907033
8,122.6732629776001,0.08762840759451485,153.12508144378663,0.08436812911474265,33.46056070327759,0.34211641080250077,71.55814476013184,0.261340952955475
9,97.77742309570313,0.052667984789707814,142.34500541687012,0.08962963381739743,32.241248750686644,0.20166884802668641,39.38116383552551,0.1352588385366303
