number,value,state,params_batch_size,params_ctx_sample_mode,params_kl_warmup_epochs,params_lr,params_mask_fill,params_num_hidden,params_sensor_drop_mode,params_sensor_drop_p,params_weight_decay,user_attrs_mae_per_topology,user_attrs_objective_topologies,user_attrs_trial_dir
0,9.852407375971476,COMPLETE,16,first,500,0.0016409119617016143,zero,128,k_uniform,0.275034884505077,6.431172050131997e-05,{'ellipsoidal': 9.852407375971476},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00000
1,115.90987260606555,COMPLETE,8,first,200,0.0037373255040743145,zero,128,k_uniform,0.41126270037994017,1.6334587611069488e-06,{'ellipsoidal': 115.90987260606555},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00001
2,9.511299133300781,COMPLETE,32,first,800,0.001222381083098316,train_mean,32,bernoulli,0.2058222448418508,2.6919058249260712e-06,{'ellipsoidal': 9.511299133300781},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00002
3,11.53295413123237,COMPLETE,8,first,600,0.001117255124590944,zero,128,k_uniform,0.37905247837090594,0.0006780227021579834,{'ellipsoidal': 11.53295413123237},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00003
4,6.905008971691132,COMPLETE,16,first,500,0.00041489069053626246,zero,64,bernoulli,0.1835507024379339,5.1355896065002253e-05,{'ellipsoidal': 6.905008971691132},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00004
5,12.795411626497906,COMPLETE,16,first,200,0.00015400118196017272,zero,32,k_uniform,0.4283972919391741,9.310837957239839e-05,{'ellipsoidal': 12.795411626497906},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00005
6,72.4121265411377,COMPLETE,32,first,200,0.0010656495240313783,zero,192,bernoulli,0.218456079008858,0.00016511660035531799,{'ellipsoidal': 72.4121265411377},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00006
7,5.545383585823905,COMPLETE,8,first,200,0.00028241566638334656,train_mean,128,k_uniform,0.22742758098052948,3.7131642495346186e-05,{'ellipsoidal': 5.545383585823905},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00007
8,7.329882701237995,COMPLETE,16,first,200,0.00010818377152485235,train_mean,128,bernoulli,0.394077608849038,0.0003067750867937875,{'ellipsoidal': 7.329882701237995},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00008
9,11.61444103717804,COMPLETE,16,first,700,0.004156157453966635,zero,64,bernoulli,0.4255191278809909,2.1947049130435382e-05,{'ellipsoidal': 11.61444103717804},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00009
10,4.8238418473137745,COMPLETE,8,first,400,0.00031892216275936357,train_mean,192,k_uniform,0.10554703419633954,1.3110058873616402e-05,{'ellipsoidal': 4.8238418473137745},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00010
11,5.353122652901544,COMPLETE,8,first,400,0.0003040898480954557,train_mean,192,k_uniform,0.1183404408442881,1.1537961836934187e-05,{'ellipsoidal': 5.353122652901544},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00011
12,5.2145555390252,COMPLETE,8,first,400,0.0003862964872948665,train_mean,192,k_uniform,0.10176977010447508,7.368755321332321e-06,{'ellipsoidal': 5.2145555390252},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00012
13,4.993017021814983,COMPLETE,8,first,400,0.0005331305233181273,train_mean,192,k_uniform,0.10629268207632454,6.3886990356784415e-06,{'ellipsoidal': 4.993017021814983},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00013
14,5.467289098103842,COMPLETE,8,first,400,0.0007246639547619454,train_mean,160,k_uniform,0.4952665648773933,5.0561511829977685e-06,{'ellipsoidal': 5.467289098103842},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00014
15,10.016149563259548,PRUNED,8,first,300,0.00019225866903844026,train_mean,160,k_uniform,0.15212523527514785,1.0005538638344018e-06,,,
16,,FAIL,8,first,400,0.0005901442829865061,train_mean,160,k_uniform,0.29943001090310406,1.4114682820325686e-05,,,
17,5.420271269480386,COMPLETE,8,first,600,0.0005855759646616387,train_mean,160,k_uniform,0.29169489522359165,1.5076714964185528e-05,{'ellipsoidal': 5.420271269480386},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00017
18,64.61532878875732,PRUNED,32,first,300,0.000586382270376015,train_mean,192,k_uniform,0.15772545439622987,3.8327970312713715e-06,,,
19,123.93840467664931,PRUNED,8,first,600,0.0020130810306430436,train_mean,160,k_uniform,0.34619802950650175,1.0090824023866316e-05,,,
20,41.64074808756509,PRUNED,8,first,300,0.00022306928256685476,train_mean,96,k_uniform,0.26085525674118326,2.458102244706847e-05,,,
21,69.15057690938313,PRUNED,32,first,500,0.0007322278696922308,train_mean,192,k_uniform,0.1390431489411299,3.0061001632908874e-06,,,
22,42.331273396809905,PRUNED,8,first,400,0.0003645657323851359,train_mean,192,k_uniform,0.10299378117168599,6.2711486224892695e-06,,,
23,43.384480539957686,PRUNED,8,first,400,0.0004230309555941401,train_mean,160,k_uniform,0.11093348841261201,8.119360821564272e-06,,,
24,23.144174024793834,PRUNED,8,first,400,0.00046071586168665047,train_mean,192,k_uniform,0.16928206883605734,2.0140873364897148e-06,,,
25,50.80522740681966,PRUNED,8,first,300,0.00024371243286075013,train_mean,160,k_uniform,0.10195624329168847,1.595016544880967e-05,,,
26,58.52207717895507,PRUNED,8,first,500,0.00014762326618435257,train_mean,192,k_uniform,0.13519991455456218,6.250415918423234e-06,,,
27,9.014137522379558,PRUNED,8,first,400,0.000560907281885305,train_mean,96,bernoulli,0.19037002245208756,1.8920532390119645e-05,,,
28,24.481492953830294,PRUNED,8,first,300,0.0008658123329257045,train_mean,192,k_uniform,0.3339125551664736,3.3349846846412305e-05,,,
29,65.55371538798015,PRUNED,32,first,500,0.0003210547333093491,train_mean,160,k_uniform,0.24031571646739666,4.138968144434052e-06,,,
30,56.62103084988065,PRUNED,8,first,500,0.00016706655961002315,train_mean,192,k_uniform,0.13335085847244663,9.680015184193653e-05,,,
31,111.29873593648274,PRUNED,16,first,400,0.0020272023846204263,train_mean,160,k_uniform,0.18625561369652444,1.0430369493615073e-05,,,
32,50.59583189222548,PRUNED,8,first,400,0.00029642735116463273,train_mean,192,k_uniform,0.12520611665529963,1.1777620772903778e-05,,,
33,49.918972608778205,PRUNED,8,first,300,0.00024139583161159593,train_mean,192,k_uniform,0.1028302370287523,7.281349342034004e-06,,,
34,44.90515683492024,PRUNED,8,first,400,0.0005054794426326317,train_mean,192,k_uniform,0.16046718572076313,2.0341200318491633e-06,,,
35,22.912357245551217,PRUNED,8,first,500,0.00034226393053825803,zero,160,k_uniform,0.12509214693009385,1.3977348943497612e-05,,,
36,64.86755549112955,PRUNED,8,first,800,0.00010085226322878629,train_mean,192,k_uniform,0.2023744845817792,5.435247846263092e-05,,,
